one , n , 90 , 1441355480624 , 329.2448 , 278.7403
the , e , 102 , 1441355508330 , 692.4894 , 310.0683
rest , e , 67 , 1441355508363 , 860.8755 , 119.7181
rest , e , 67 , 1441355508396 , 863.8212 , 138.8267
rest , r , 66 , 1441355508430 , 850.9095 , 132.2822
rest , r , 66 , 1441355508463 , 854.6806 , 145.9561
rest , r , 66 , 1441355508496 , 854.5028 , 142.9375
rest , e , 67 , 1441355508530 , 860.4209 , 146.3219
rest , e , 67 , 1441355508563 , 861.5449 , 144.3829
rest , e , 67 , 1441355508596 , 863.8395 , 146.5069
rest , e , 67 , 1441355508629 , 866.0363 , 146.5465
rest , e , 67 , 1441355508663 , 865.629 , 146.163
rest , e , 67 , 1441355508696 , 865.7557 , 152.6932
rest , e , 67 , 1441355508729 , 864.9382 , 153.9397
rest , e , 67 , 1441355508763 , 863.3322 , 158.9657
rest , e , 67 , 1441355508796 , 861.7479 , 160.4888
rest , e , 67 , 1441355508829 , 861.405 , 162.7718
the , h , 58 , 1441355508863 , 594.3527 , 188.3676
Trial , l , 9 , 1441355508896 , 273.474 , 127.9888
Trial , l , 9 , 1441355508929 , 269.9184 , 125.6892
Trial , l , 9 , 1441355508962 , 275.3418 , 124.5716
Trial , l , 9 , 1441355508996 , 281.7051 , 121.0141
Trial , l , 9 , 1441355509029 , 275.1149 , 125.2185
head , h , 48 , 1441355509062 , 302.8766 , 147.5401
head , h , 48 , 1441355509096 , 307.4707 , 132.0756
head , h , 48 , 1441355509129 , 292.6474 , 154.9244
head , h , 48 , 1441355509196 , 290.4934 , 150.0961
head , h , 48 , 1441355509229 , 290.4546 , 140.5026
head , h , 48 , 1441355509262 , 296.5443 , 139.1391
head , h , 48 , 1441355509295 , 297.4991 , 138.8081
head , h , 48 , 1441355509329 , 290.909 , 144.4587
head , h , 48 , 1441355509362 , 293.5818 , 156.273
where , e , 129 , 1441355509396 , 431.249 , 410.3196
where , e , 129 , 1441355509462 , 435.2054 , 424.8428
where , e , 129 , 1441355509495 , 432.8278 , 426.4325
one , n , 90 , 1441355519521 , 321.7639 , 271.4662
where , w , 125 , 1441355519554 , 315.5777 , 358.0007
where , h , 126 , 1441355519588 , 330.4336 , 362.0993
where , h , 126 , 1441355519621 , 325.7068 , 377.2633
where , h , 126 , 1441355519654 , 338.1456 , 373.6057
where , e , 127 , 1441355519688 , 348.9894 , 368.7682
where , h , 126 , 1441355519721 , 343.3887 , 372.803
where , h , 126 , 1441355519754 , 346.9634 , 366.8838
where , h , 126 , 1441355519788 , 342.0183 , 367.4531
where , h , 126 , 1441355519821 , 334.6758 , 373.6456
dot , d , 108 , 1441355519887 , 868.7471 , 307.5478
the , h , 101 , 1441355519954 , 661.9226 , 305.363
until , l , 98 , 1441355519987 , 575.3462 , 329.3191
you , u , 133 , 1441355520154 , 534.0405 , 351.2506
where , h , 126 , 1441355520187 , 347.8544 , 415.7394
rest , r , 66 , 1441355520387 , 837.4835 , 218.6609
red , r , 104 , 1441355520420 , 748.1049 , 286.3423
the , e , 102 , 1441355520454 , 701.9389 , 314.3092
the , e , 102 , 1441355522019 , 684.2145 , 309.2953
you , y , 131 , 1441355522052 , 489.5161 , 344.9076
Test , T , 0 , 1441355522086 , 0.0 , 0.0
until , l , 98 , 1441355522119 , 574.443 , 321.4645
until , l , 98 , 1441355522219 , 583.569 , 317.3334
the , t , 100 , 1441355522419 , 622.8243 , 288.0984
the , t , 100 , 1441355522518 , 629.3267 , 312.0345
the , t , 100 , 1441355522552 , 627.9846 , 315.1826
the , t , 100 , 1441355522585 , 631.6398 , 310.1614
the , t , 100 , 1441355522685 , 626.52 , 316.7613
the , t , 100 , 1441355522718 , 624.9692 , 315.3438
the , t , 100 , 1441355522752 , 623.8946 , 316.5484
the , t , 100 , 1441355522785 , 629.0792 , 316.0578
the , t , 100 , 1441355522818 , 638.4465 , 313.4844
the , t , 100 , 1441355522852 , 645.0983 , 313.6791
the , h , 101 , 1441355522885 , 650.4318 , 311.2919
the , h , 101 , 1441355522918 , 654.98 , 307.8734
the , h , 101 , 1441355522951 , 656.5347 , 305.6118
the , h , 101 , 1441355522985 , 657.5219 , 303.9122
the , h , 101 , 1441355523018 , 661.8848 , 305.0894
appearing , i , 121 , 1441355523784 , 176.9934 , 473.9815
appearing , i , 121 , 1441355523817 , 195.465 , 472.1778
appearing , i , 121 , 1441355523851 , 183.1358 , 478.2935
appearing , i , 121 , 1441355523884 , 175.4956 , 471.2024
Test , T , 0 , 1441355526815 , 0.0 , 0.0
Test , T , 0 , 1441355526848 , 0.0 , 0.0
Test , T , 0 , 1441355526881 , 0.0 , 0.0
Test , T , 0 , 1441355526915 , 0.0 , 0.0
Test , T , 0 , 1441355526948 , 0.0 , 0.0
Test , T , 0 , 1441355526981 , 0.0 , 0.0
Test , T , 0 , 1441355527081 , 0.0 , 0.0
Test , T , 0 , 1441355527115 , 0.0 , 0.0
