where , e , 129 , 1441356148882 , 432.483 , 457.1601
using , g , 87 , 1441356165735 , 248.3625 , 239.7459
using , g , 87 , 1441356165768 , 252.4889 , 236.277
using , g , 87 , 1441356165802 , 255.4407 , 241.4681
please , l , 13 , 1441356165835 , 379.5887 , 35.7764
please , l , 13 , 1441356165868 , 392.5968 , 84.9289
please , l , 13 , 1441356165902 , 407.0688 , 80.7285
please , l , 13 , 1441356165935 , 405.031 , 58.9536
please , l , 13 , 1441356165968 , 407.0781 , 57.2306
please , l , 13 , 1441356166001 , 400.6104 , 63.1521
please , l , 13 , 1441356166035 , 404.3684 , 62.7563
please , l , 13 , 1441356166068 , 403.6346 , 64.0057
please , l , 13 , 1441356166101 , 406.6015 , 67.9556
please , e , 14 , 1441356166135 , 408.3604 , 63.7111
please , e , 14 , 1441356166168 , 414.6268 , 57.094
please , e , 14 , 1441356166201 , 415.1873 , 55.7864
please , e , 14 , 1441356166235 , 417.4428 , 56.3873
please , e , 14 , 1441356166268 , 420.059 , 53.15
please , e , 14 , 1441356166301 , 420.8421 , 50.8432
please , e , 14 , 1441356166335 , 422.1135 , 51.5403
please , e , 14 , 1441356166368 , 423.5311 , 51.4439
please , e , 14 , 1441356166401 , 425.0136 , 48.2174
please , e , 14 , 1441356166434 , 425.2952 , 45.5281
please , e , 14 , 1441356166468 , 428.6507 , 41.5697
