them , m , 201 , 1418228901515 , 566.3536 , 416.6357
The , e , 89 , 1418228907508 , 41.698 , 286.2379
The , e , 89 , 1418228907544 , 40.1258 , 281.5172
Slings , i , 93 , 1418228907614 , 134.0564 , 280.5245
Arrows , A , 102 , 1418228907660 , 361.123 , 240.9407
Arrows , r , 103 , 1418228907695 , 381.634 , 297.918
Arrows , s , 107 , 1418228907730 , 486.7501 , 266.9867
of , f , 110 , 1418228907765 , 547.6985 , 245.2591
outrageous , o , 112 , 1418228907844 , 605.9432 , 238.5058
outrageous , a , 116 , 1418228907879 , 686.4518 , 225.3593
mind , i , 72 , 1418228907913 , 678.5372 , 199.774
outrageous , a , 116 , 1418228907947 , 690.9595 , 210.8157
outrageous , r , 115 , 1418228907992 , 672.772 , 215.086
outrageous , r , 115 , 1418228908027 , 665.1969 , 223.05
outrageous , r , 115 , 1418228908063 , 670.2469 , 230.5153
outrageous , r , 115 , 1418228908099 , 669.3869 , 228.0466
Fortune , o , 124 , 1418228908133 , 897.6796 , 281.7244
Fortune , o , 124 , 1418228908169 , 885.5024 , 273.0241
Fortune , o , 124 , 1418228908215 , 884.8 , 240.7144
Fortune , o , 124 , 1418228908250 , 894.7858 , 251.406
Fortune , o , 124 , 1418228908285 , 897.6475 , 257.3429
Fortune , F , 123 , 1418228908319 , 859.357 , 228.9348
is , i , 26 , 1418228908354 , 588.3729 , 43.0244
to , o , 24 , 1418228908503 , 542.2883 , 104.0992
to , t , 23 , 1418228908549 , 521.0928 , 90.8098
be , e , 20 , 1418228908769 , 462.9075 , 69.6762
be , e , 20 , 1418228908803 , 452.4385 , 68.8328
be , b , 19 , 1418228908838 , 443.4128 , 66.6629
be , b , 19 , 1418228908882 , 434.4508 , 65.8053
to , o , 24 , 1418228909471 , 558.4266 , 36.2617
to , o , 24 , 1418228909506 , 561.7722 , 32.682
to , o , 24 , 1418228909542 , 560.3423 , 31.4237
to , o , 24 , 1418228909577 , 559.5183 , 34.6503
to , o , 24 , 1418228909623 , 556.8428 , 39.5009
to , o , 24 , 1418228909658 , 553.9783 , 45.4767
to , o , 24 , 1418228909693 , 553.3862 , 43.3695
to , o , 24 , 1418228909728 , 551.6262 , 46.2493
to , o , 24 , 1418228909763 , 561.7129 , 45.7537
question , u , 34 , 1418228909947 , 789.0018 , 80.6883
question , e , 35 , 1418228909993 , 806.659 , 36.5847
question , e , 35 , 1418228910028 , 806.9565 , 52.7931
question , e , 35 , 1418228910063 , 806.4938 , 57.6779
question , u , 34 , 1418228910097 , 803.4226 , 54.6631
question , u , 34 , 1418228910132 , 802.8624 , 48.3779
question , e , 35 , 1418228910167 , 806.4745 , 52.0219
against , a , 149 , 1418228910247 , 386.6358 , 302.9669
against , a , 149 , 1418228910282 , 378.6223 , 328.3618
against , a , 149 , 1418228910317 , 374.9097 , 323.379
against , a , 149 , 1418228910361 , 380.525 , 325.2813
against , a , 149 , 1418228910396 , 374.3548 , 322.7019
against , a , 149 , 1418228910431 , 372.7334 , 328.3849
against , a , 149 , 1418228910466 , 372.442 , 329.3279
against , a , 149 , 1418228910501 , 373.0404 , 331.9672
against , a , 149 , 1418228910548 , 378.0079 , 350.629
against , a , 149 , 1418228910583 , 384.4112 , 333.9645
against , a , 151 , 1418228910618 , 430.0387 , 349.4547
against , a , 151 , 1418228910653 , 442.3221 , 352.2207
against , i , 152 , 1418228910687 , 445.3698 , 366.1867
against , i , 152 , 1418228910722 , 451.7817 , 374.882
against , a , 151 , 1418228910768 , 430.5759 , 376.0044
against , g , 150 , 1418228910803 , 415.7368 , 378.1485
against , g , 150 , 1418228910837 , 402.7065 , 379.3618
against , a , 149 , 1418228910873 , 389.8856 , 378.8373
by , y , 182 , 1418228910952 , 113.3747 , 399.1876
by , b , 181 , 1418228910987 , 102.0864 , 402.9
by , b , 181 , 1418228911023 , 104.324 , 395.5459
by , b , 181 , 1418228911058 , 107.1577 , 399.2295
by , b , 181 , 1418228911093 , 102.5083 , 393.7978
by , b , 181 , 1418228911141 , 85.7497 , 394.2393
And , d , 179 , 1418228911246 , 59.2856 , 393.9789
And , d , 179 , 1418228911281 , 56.0131 , 393.0548
And , d , 179 , 1418228911315 , 49.2582 , 391.4745
And , d , 179 , 1418228911544 , 50.7942 , 391.982
And , d , 179 , 1418228911578 , 51.7433 , 391.4206
And , d , 179 , 1418228911612 , 52.8847 , 392.4718
And , d , 179 , 1418228911657 , 53.0286 , 394.5436
And , d , 179 , 1418228911693 , 54.317 , 395.3983
And , d , 179 , 1418228911727 , 57.0787 , 393.763
And , d , 179 , 1418228911913 , 59.9705 , 391.5793
And , d , 179 , 1418228911948 , 58.5022 , 392.2495
And , d , 179 , 1418228911982 , 56.9943 , 392.6745
And , d , 179 , 1418228912018 , 56.6276 , 392.909
And , d , 179 , 1418228912063 , 56.0653 , 393.314
And , d , 179 , 1418228912098 , 56.6046 , 393.7462
And , d , 179 , 1418228912132 , 58.8027 , 397.0688
And , d , 179 , 1418228912167 , 58.4026 , 397.7176
And , d , 179 , 1418228912213 , 59.594 , 399.3629
to , t , 136 , 1418228912912 , 66.1791 , 388.9306
to , t , 136 , 1418228912946 , 65.0654 , 385.7433
to , t , 136 , 1418228912981 , 64.2329 , 381.9624
to , t , 136 , 1418228913027 , 63.7535 , 379.0784
to , t , 136 , 1418228913062 , 62.6798 , 375.5202
to , t , 136 , 1418228913096 , 62.0264 , 373.8033
to , t , 136 , 1418228913130 , 61.0041 , 371.3435
and , n , 99 , 1418228913728 , 296.9686 , 278.9812
and , d , 100 , 1418228913797 , 311.9517 , 284.9226
and , d , 100 , 1418228913832 , 301.4542 , 285.3237
and , d , 100 , 1418228913877 , 305.2592 , 278.291
and , d , 100 , 1418228913913 , 301.6814 , 277.7936
and , d , 100 , 1418228913948 , 302.1103 , 276.018
and , d , 100 , 1418228913983 , 302.7982 , 281.214
and , d , 100 , 1418228914018 , 319.8177 , 287.4041
Arrows , A , 102 , 1418228914134 , 355.4252 , 283.2976
troubles , r , 167 , 1418228914204 , 805.5656 , 324.0543
outrageous , u , 120 , 1418228914239 , 803.8925 , 298.5723
troubles , t , 166 , 1418228914284 , 800.9987 , 308.05
troubles , t , 166 , 1418228914320 , 802.4022 , 308.983
troubles , r , 167 , 1418228914354 , 806.5109 , 299.3994
Fortune , t , 126 , 1418228914389 , 932.6022 , 278.074
troubles , l , 171 , 1418228914424 , 908.9801 , 308.8509
troubles , e , 172 , 1418228914470 , 927.9179 , 311.7555
troubles , e , 172 , 1418228914505 , 932.9232 , 302.5138
Fortune , t , 126 , 1418228914539 , 929.8874 , 294.1976
Fortune , t , 126 , 1418228914573 , 926.676 , 293.5735
Fortune , r , 125 , 1418228914619 , 916.769 , 296.3613
opposing , n , 190 , 1418228914655 , 303.5869 , 433.1366
And , n , 178 , 1418228914689 , 30.5946 , 469.1707
And , A , 177 , 1418228914724 , 5.8916 , 476.1435
And , A , 177 , 1418228914759 , -2.5578 , 482.9111
And , A , 177 , 1418228914794 , -17.7513 , 481.8601
No , N , 223 , 1418228914839 , -19.8263 , 484.8923
No , N , 223 , 1418228914874 , -20.4899 , 486.2852
No , N , 223 , 1418228914908 , -41.0449 , 488.9712
And , n , 178 , 1418228914944 , 19.6067 , 450.3772
And , n , 178 , 1418228914978 , 31.9114 , 438.5666
And , d , 179 , 1418228915023 , 39.2024 , 436.2319
And , d , 179 , 1418228915058 , 45.6196 , 432.3425
Arms , m , 146 , 1418228915128 , 311.2218 , 386.4309
Arms , m , 146 , 1418228915163 , 305.5875 , 382.3637
Arms , r , 145 , 1418228915209 , 299.4491 , 382.8897
Arms , r , 145 , 1418228915244 , 295.0539 , 382.2738
Arms , r , 145 , 1418228915278 , 291.5444 , 377.1757
Arms , r , 145 , 1418228915313 , 292.3813 , 380.4851
against , i , 152 , 1418228915394 , 459.8288 , 366.4873
against , n , 153 , 1418228915429 , 477.2376 , 373.0417
against , n , 153 , 1418228915464 , 470.5556 , 369.9585
against , n , 153 , 1418228915498 , 470.3789 , 366.4832
against , i , 152 , 1418228915544 , 465.2223 , 360.7758
of , f , 164 , 1418228915579 , 741.1129 , 381.7147
of , f , 164 , 1418228915648 , 748.9343 , 369.2934
of , f , 164 , 1418228915682 , 752.915 , 372.0518
of , f , 164 , 1418228915729 , 753.7839 , 382.4027
of , f , 164 , 1418228915763 , 755.34 , 384.0835
of , f , 164 , 1418228915798 , 750.6526 , 382.4898
troubles , e , 172 , 1418228915867 , 930.6008 , 327.3557
troubles , e , 172 , 1418228915913 , 943.9233 , 387.8578
troubles , e , 172 , 1418228915948 , 937.9218 , 378.7141
troubles , e , 172 , 1418228915982 , 935.9496 , 367.4872
troubles , b , 170 , 1418228916017 , 876.275 , 363.2074
troubles , o , 168 , 1418228916061 , 842.4672 , 364.2733
troubles , r , 167 , 1418228916096 , 822.277 , 362.0542
troubles , r , 167 , 1418228916132 , 804.5318 , 362.802
troubles , t , 166 , 1418228916166 , 791.0156 , 364.0705
Sea , a , 161 , 1418228916282 , 682.6359 , 387.7571
ben , d , 207 , 1418228916689 , 710.0671 , 396.9076
die , e , 209 , 1418228917348 , 776.0373 , 421.5379
them , e , 200 , 1418228917393 , 551.1403 , 456.6179
against , t , 155 , 1418228917429 , 525.2079 , 369.044
against , t , 155 , 1418228917464 , 527.3846 , 381.8805
them , h , 199 , 1418228917498 , 533.5628 , 396.9142
them , h , 199 , 1418228917533 , 539.351 , 393.7324
them , e , 200 , 1418228917578 , 559.4861 , 391.7571
them , m , 201 , 1418228917614 , 573.8301 , 396.2696
them , m , 201 , 1418228917649 , 579.6845 , 392.6474
them , m , 201 , 1418228917684 , 587.4563 , 393.7636
them , m , 201 , 1418228917799 , 587.7606 , 393.8254
them , m , 201 , 1418228917834 , 583.208 , 395.0114
them , m , 201 , 1418228917868 , 578.775 , 397.7381
them , m , 201 , 1418228917913 , 574.4941 , 399.0602
them , m , 201 , 1418228917948 , 571.4971 , 399.5184
ben , e , 209 , 1418228918018 , 770.6061 , 416.4194
die , e , 209 , 1418228918053 , 779.7762 , 419.6319
die , e , 209 , 1418228918133 , 778.9117 , 424.4858
die , e , 209 , 1418228918202 , 772.741 , 421.808
die , e , 209 , 1418228918236 , 770.9932 , 426.6713
die , e , 209 , 1418228918281 , 770.5901 , 429.4306
die , e , 209 , 1418228918317 , 766.3682 , 428.7055
die , e , 209 , 1418228918352 , 769.8506 , 431.8747
die , e , 209 , 1418228918388 , 768.6038 , 436.5006
die , e , 209 , 1418228918424 , 766.8015 , 437.0948
die , e , 209 , 1418228918468 , 765.3223 , 435.5349
them , h , 199 , 1418228918538 , 530.4484 , 435.2728
them , h , 199 , 1418228918574 , 539.9492 , 422.309
them , h , 199 , 1418228918620 , 533.2081 , 424.5197
them , h , 199 , 1418228918761 , 537.285 , 420.6927
them , h , 199 , 1418228918797 , 535.4287 , 423.9902
them , h , 199 , 1418228918831 , 534.4213 , 421.9587
them , e , 200 , 1418228918865 , 548.0814 , 421.4256
ben , d , 207 , 1418228918911 , 717.1664 , 422.9469
die , e , 209 , 1418228918945 , 762.2124 , 419.751
die , i , 208 , 1418228918980 , 748.0604 , 407.9943
die , i , 208 , 1418228919015 , 755.981 , 404.8941
die , i , 208 , 1418228919059 , 752.1479 , 408.5177
die , i , 208 , 1418228919094 , 754.8755 , 405.8964
die , i , 208 , 1418228919128 , 753.1394 , 408.3499
die , i , 208 , 1418228919163 , 750.2341 , 407.9283
die , i , 208 , 1418228919207 , 750.2544 , 409.6328
die , i , 208 , 1418228919242 , 749.4548 , 413.7651
die , i , 208 , 1418228919278 , 747.4894 , 415.2541
die , i , 208 , 1418228919314 , 746.5668 , 420.1229
them , t , 198 , 1418228919348 , 510.5568 , 413.7286
them , h , 199 , 1418228919393 , 526.7407 , 400.1569
them , t , 198 , 1418228919428 , 510.3286 , 406.7732
them , t , 198 , 1418228919463 , 515.2991 , 406.7922
them , h , 199 , 1418228919498 , 519.6707 , 407.5944
them , h , 199 , 1418228919533 , 521.5875 , 413.9247
them , h , 199 , 1418228919579 , 521.931 , 416.0216
them , h , 199 , 1418228919613 , 522.5482 , 419.0702
them , h , 199 , 1418228919648 , 523.1674 , 418.9964
ben , e , 209 , 1418228919683 , 758.2247 , 442.2964
die , e , 209 , 1418228919762 , 761.5536 , 395.3609
die , i , 208 , 1418228919797 , 741.5298 , 391.6809
die , e , 209 , 1418228919833 , 777.2961 , 395.747
to , t , 212 , 1418228919903 , 836.4092 , 407.7323
to , o , 213 , 1418228919948 , 855.4894 , 409.6208
sleep , e , 217 , 1418228919984 , 957.9391 , 457.0563
sleep , p , 219 , 1418228920019 , 1019.2375 , 423.7837
more , r , 228 , 1418228920345 , 116.006 , 518.4014
No , o , 224 , 1418228920495 , 32.033 , 542.3527
No , N , 223 , 1418228920540 , -1.0785 , 560.6218
No , o , 224 , 1418228920576 , 25.214 , 567.4703
No , N , 223 , 1418228920610 , 5.5678 , 552.1168
No , N , 223 , 1418228920645 , -4.8666 , 542.0421
No , N , 223 , 1418228920680 , -9.9295 , 541.424
No , N , 223 , 1418228920725 , 4.3065 , 545.4198
a , a , 239 , 1418228920760 , 373.0254 , 495.3526
a , a , 239 , 1418228920795 , 374.5887 , 498.9141
a , a , 239 , 1418228920910 , 375.5648 , 519.2433
a , a , 239 , 1418228920944 , 375.1764 , 513.634
a , a , 239 , 1418228920980 , 377.138 , 518.8901
a , a , 239 , 1418228921015 , 378.7866 , 522.6836
say , y , 253 , 1418228921050 , 712.0963 , 496.7444
die , d , 207 , 1418228921086 , 720.8612 , 482.6984
die , i , 208 , 1418228921166 , 733.8995 , 476.7195
die , i , 208 , 1418228921200 , 747.1359 , 477.7229
die , i , 208 , 1418228921235 , 745.2275 , 479.742
die , i , 208 , 1418228921280 , 743.1755 , 479.3995
die , i , 208 , 1418228921315 , 747.3084 , 476.1927
die , i , 208 , 1418228921349 , 752.2105 , 479.6686
die , e , 209 , 1418228921384 , 768.607 , 482.4135
die , e , 209 , 1418228921418 , 778.8808 , 481.017
we , e , 256 , 1418228921498 , 802.5151 , 483.385
sleep , l , 242 , 1418228921533 , 454.2112 , 507.672
The , e , 265 , 1418228921568 , 44.4442 , 643.7753
The , h , 264 , 1418228921613 , 32.696 , 638.3169
The , h , 264 , 1418228921648 , 31.5343 , 642.1848
The , e , 265 , 1418228921682 , 38.692 , 647.5485
The , e , 265 , 1418228921717 , 43.3752 , 654.8143
The , e , 265 , 1418228921762 , 48.0074 , 645.5664
The , h , 264 , 1418228921798 , 12.6031 , 637.9331
The , h , 264 , 1418228921832 , 26.9733 , 651.6389
The , h , 264 , 1418228921868 , 17.3755 , 651.3608
The , h , 264 , 1418228921903 , 13.618 , 653.8284
The , T , 263 , 1418228921937 , 11.9696 , 662.8525
the , h , 284 , 1418228921984 , 507.3758 , 591.3929
the , h , 284 , 1418228922019 , 515.3785 , 579.6185
the , e , 285 , 1418228922054 , 516.7547 , 578.7969
sleep , p , 245 , 1418228922090 , 517.8019 , 566.4044
the , e , 285 , 1418228922124 , 519.3992 , 575.8741
sleep , p , 245 , 1418228922159 , 518.4355 , 573.9902
the , e , 285 , 1418228922205 , 517.0428 , 578.8273
the , h , 284 , 1418228922240 , 515.1134 , 578.6914
the , h , 284 , 1418228922275 , 513.6222 , 582.0026
shocks , h , 305 , 1418228922461 , 1000.9271 , 578.2286
shocks , h , 305 , 1418228922495 , 1002.0905 , 590.8828
shocks , h , 305 , 1418228922530 , 1002.1174 , 587.9231
shocks , h , 305 , 1418228922575 , 1006.2697 , 581.1516
shocks , h , 305 , 1418228922610 , 1004.4916 , 587.0787
shocks , h , 305 , 1418228922645 , 999.4697 , 588.5101
shocks , h , 305 , 1418228922679 , 1000.3718 , 589.326
shocks , k , 308 , 1418228923281 , 1087.5774 , 596.1443
shocks , k , 308 , 1418228923316 , 1077.8036 , 619.7316
shocks , k , 308 , 1418228923351 , 1074.0688 , 628.9841
shocks , k , 308 , 1418228923387 , 1073.6782 , 630.9616
shocks , k , 308 , 1418228923422 , 1071.6812 , 627.1612
shocks , k , 308 , 1418228923459 , 1076.1312 , 619.0289
shocks , k , 308 , 1418228923496 , 1075.6815 , 613.265
shocks , k , 308 , 1418228923534 , 1078.2605 , 612.0146
shocks , k , 308 , 1418228923570 , 1075.5342 , 604.8589
shocks , k , 308 , 1418228923606 , 1072.4323 , 597.0704
shocks , k , 308 , 1418228923643 , 1072.0389 , 592.7191
Natural , t , 298 , 1418228923679 , 833.4041 , 622.8012
the , h , 284 , 1418228923725 , 498.3283 , 604.7141
the , h , 284 , 1418228923762 , 496.2759 , 630.6809
the , h , 284 , 1418228923799 , 499.0317 , 635.1373
the , h , 284 , 1418228923835 , 492.9142 , 635.3696
the , h , 284 , 1418228923871 , 500.4059 , 636.2504
the , h , 284 , 1418228923907 , 497.0942 , 598.0305
the , t , 283 , 1418228923942 , 482.1021 , 620.7854
a , a , 239 , 1418228923978 , 380.5331 , 529.6754
Arms , A , 144 , 1418228924014 , 260.0272 , 352.5322
Slings , g , 95 , 1418228924050 , 203.1402 , 259.2216
Whether , r , 50 , 1418228924084 , 155.6182 , 202.1508
against , t , 155 , 1418228925090 , 537.1135 , 312.8715
them , e , 200 , 1418228925124 , 541.0255 , 462.5679
them , h , 199 , 1418228925159 , 537.9157 , 465.9468
them , e , 200 , 1418228925204 , 551.5816 , 479.3809
sleep , p , 245 , 1418228925308 , 529.0875 , 518.4592
them , t , 198 , 1418228925389 , 507.6361 , 480.6541
sleep , p , 245 , 1418228925423 , 523.9364 , 495.1151
sleep , p , 245 , 1418228925458 , 523.67 , 492.9734
sleep , p , 245 , 1418228925492 , 520.6057 , 492.3151
sleep , p , 245 , 1418228925538 , 518.7269 , 485.9457
sleep , p , 245 , 1418228925573 , 520.2746 , 484.6088
sleep , p , 245 , 1418228925608 , 525.9299 , 487.8913
shocks , k , 308 , 1418228925643 , 1076.2648 , 627.6386
consummation , n , 344 , 1418228925897 , 756.6321 , 684.1094
heir , h , 326 , 1418228925941 , 327.5627 , 699.0433
heir , h , 326 , 1418228925976 , 346.9769 , 696.1503
heir , h , 326 , 1418228926011 , 344.8231 , 676.9895
heir , h , 326 , 1418228926046 , 341.8098 , 683.0525
heir , h , 326 , 1418228926090 , 341.242 , 691.7809
heir , e , 327 , 1418228926159 , 368.4801 , 715.1097
heir , h , 326 , 1418228926193 , 328.8763 , 727.7104
is , s , 324 , 1418228926342 , 299.8913 , 745.6784
is , s , 324 , 1418228926387 , 298.167 , 748.2354
sleep , l , 242 , 1418228926421 , 464.3677 , 498.2271
them , h , 199 , 1418228926456 , 528.6511 , 464.0648
them , h , 199 , 1418228926491 , 518.0878 , 455.6826
them , h , 199 , 1418228926526 , 519.8884 , 449.7246
them , h , 199 , 1418228926570 , 527.929 , 456.7047
them , h , 199 , 1418228926605 , 535.3631 , 455.1913
them , h , 199 , 1418228926641 , 536.2329 , 456.4203
them , h , 199 , 1418228926675 , 531.8632 , 456.0815
them , h , 199 , 1418228926720 , 533.7323 , 457.2104
them , h , 199 , 1418228926754 , 534.7833 , 459.4992
them , h , 199 , 1418228926790 , 526.4054 , 451.8524
them , h , 199 , 1418228926824 , 521.7676 , 444.1792
them , h , 199 , 1418228926858 , 517.8984 , 436.4413
them , t , 198 , 1418228926904 , 514.3671 , 432.3873
them , t , 198 , 1418228926937 , 511.0318 , 427.5424
them , t , 198 , 1418228926971 , 508.3657 , 425.8985
them , t , 198 , 1418228927017 , 507.2609 , 422.6557
Arrows , A , 102 , 1418228927051 , 365.5002 , 284.815
Arrows , A , 102 , 1418228927086 , 369.2658 , 267.3054
Arrows , r , 103 , 1418228927121 , 372.0211 , 259.3842
Arrows , A , 102 , 1418228927157 , 368.4371 , 270.3137
Arrows , A , 102 , 1418228927202 , 359.4865 , 277.8704
Arrows , A , 102 , 1418228927237 , 356.8083 , 282.2907
Arrows , A , 102 , 1418228927272 , 353.9871 , 284.6295
Arrows , A , 102 , 1418228927307 , 353.4501 , 285.2938
Arrows , A , 102 , 1418228927342 , 371.6496 , 293.5558
shocks , s , 309 , 1418228927422 , 1095.7041 , 664.2209
