Arrows , o , 105 , 1417467419479 , 538.6729 , 273.1449
Nobler , b , 59 , 1417467422737 , 459.5395 , 243.0216
Nobler , b , 59 , 1417467422771 , 459.0432 , 243.4532
Nobler , b , 59 , 1417467422805 , 457.4824 , 240.8416
Nobler , b , 59 , 1417467422851 , 457.9438 , 239.0012
Nobler , b , 59 , 1417467422886 , 460.4473 , 236.7772
outrageous , o , 112 , 1417467422955 , 738.2407 , 275.7108
outrageous , o , 112 , 1417467423034 , 737.9396 , 291.5203
outrageous , o , 112 , 1417467423068 , 736.5828 , 300.2565
outrageous , o , 112 , 1417467423104 , 739.3411 , 300.288
outrageous , o , 112 , 1417467423150 , 762.9091 , 294.5364
Fortune , F , 123 , 1417467423187 , 1065.2849 , 307.1913
Fortune , F , 123 , 1417467423478 , 1071.6449 , 310.7012
Fortune , F , 123 , 1417467423513 , 1080.9966 , 310.4054
Fortune , F , 123 , 1417467423548 , 1089.4994 , 311.5373
outrageous , a , 116 , 1417467423582 , 859.9327 , 291.5083
and , n , 99 , 1417467423628 , 346.0768 , 276.1703
Slings , g , 95 , 1417467423663 , 247.1344 , 313.8496
Slings , n , 94 , 1417467423698 , 207.1658 , 325.471
Slings , i , 93 , 1417467423734 , 189.7769 , 333.6324
Slings , i , 93 , 1417467423768 , 177.3147 , 336.5284
Slings , l , 92 , 1417467423814 , 142.6776 , 350.5839
Slings , S , 91 , 1417467423848 , 128.9274 , 346.6178
Slings , S , 91 , 1417467423882 , 131.9155 , 341.1021
Slings , S , 91 , 1417467423918 , 125.6594 , 338.649
Slings , S , 91 , 1417467423962 , 126.0018 , 343.8411
Slings , S , 91 , 1417467423996 , 125.8595 , 344.7562
Slings , l , 92 , 1417467424031 , 136.2401 , 339.8185
Slings , l , 92 , 1417467424065 , 145.1214 , 339.3348
Slings , l , 92 , 1417467424100 , 151.9307 , 341.5079
Slings , l , 92 , 1417467424145 , 155.889 , 342.0942
Slings , l , 92 , 1417467424181 , 159.0223 , 341.3162
Slings , l , 92 , 1417467424216 , 163.2407 , 339.4738
Slings , i , 93 , 1417467424250 , 165.3574 , 339.5656
Arrows , A , 102 , 1417467424332 , 453.9055 , 310.4458
Arrows , A , 102 , 1417467424367 , 459.9502 , 308.5421
Arrows , r , 103 , 1417467424401 , 465.1268 , 309.349
Arrows , r , 103 , 1417467424436 , 469.7082 , 311.0026
Arrows , r , 103 , 1417467424480 , 473.0992 , 309.39
Arrows , r , 103 , 1417467424515 , 474.4621 , 308.8635
Arrows , r , 103 , 1417467424550 , 471.6107 , 311.7872
Arrows , r , 103 , 1417467424586 , 473.3971 , 311.1864
Arrows , r , 103 , 1417467424621 , 474.8682 , 315.2751
outrageous , o , 112 , 1417467424655 , 738.2036 , 287.2266
outrageous , o , 112 , 1417467424701 , 751.1927 , 305.0994
outrageous , o , 112 , 1417467424736 , 762.197 , 296.3269
outrageous , u , 113 , 1417467424771 , 766.3154 , 298.3138
outrageous , u , 113 , 1417467424805 , 773.1702 , 298.1183
outrageous , u , 113 , 1417467424840 , 771.4606 , 297.8849
outrageous , u , 113 , 1417467424885 , 773.933 , 296.8886
outrageous , u , 113 , 1417467424920 , 775.9522 , 299.045
outrageous , u , 113 , 1417467424955 , 775.3546 , 295.9618
outrageous , u , 113 , 1417467424990 , 784.701 , 301.9857
outrageous , u , 113 , 1417467425035 , 791.7157 , 303.6651
outrageous , t , 114 , 1417467425070 , 800.9453 , 304.4267
outrageous , t , 114 , 1417467425106 , 807.4273 , 304.4353
outrageous , t , 114 , 1417467425142 , 813.2843 , 305.0422
outrageous , t , 114 , 1417467425177 , 817.8279 , 305.4152
outrageous , t , 114 , 1417467425213 , 823.3771 , 306.0305
Fortune , o , 124 , 1417467425247 , 1095.4514 , 307.8385
Fortune , F , 123 , 1417467425293 , 1074.0444 , 324.1174
Fortune , F , 123 , 1417467425329 , 1080.6171 , 325.7136
Fortune , F , 123 , 1417467425365 , 1086.9933 , 334.379
Fortune , F , 123 , 1417467425399 , 1085.943 , 330.5363
Fortune , F , 123 , 1417467425434 , 1085.7235 , 327.4431
Fortune , o , 124 , 1417467425480 , 1095.6594 , 329.6306
Fortune , o , 124 , 1417467425515 , 1104.7666 , 332.398
Fortune , o , 124 , 1417467425550 , 1110.9097 , 335.0499
Fortune , o , 124 , 1417467425584 , 1118.7163 , 337.7469
Fortune , o , 124 , 1417467425619 , 1122.246 , 340.3784
Fortune , r , 125 , 1417467425664 , 1126.4291 , 342.2344
Fortune , r , 125 , 1417467425700 , 1129.089 , 343.9338
against , a , 151 , 1417467425735 , 539.6503 , 386.3543
to , o , 137 , 1417467425771 , 121.1361 , 458.2903
to , o , 137 , 1417467425808 , 121.6671 , 463.1718
to , o , 137 , 1417467425845 , 119.5382 , 458.6411
to , o , 137 , 1417467425881 , 114.5548 , 463.1477
to , o , 137 , 1417467425916 , 111.291 , 463.4778
to , t , 136 , 1417467425952 , 101.9635 , 456.9479
to , o , 137 , 1417467425998 , 117.9834 , 459.3257
to , o , 137 , 1417467426032 , 105.404 , 463.7868
to , t , 136 , 1417467426066 , 103.5769 , 471.2973
to , t , 136 , 1417467426102 , 104.8574 , 469.7204
to , t , 136 , 1417467426136 , 102.0039 , 470.6258
to , t , 136 , 1417467426181 , 100.9775 , 468.9936
to , o , 137 , 1417467426217 , 124.0542 , 463.5222
take , t , 139 , 1417467426322 , 166.5923 , 449.1897
take , t , 139 , 1417467426367 , 175.3119 , 446.7716
take , t , 139 , 1417467426515 , 182.5907 , 443.0579
name , s , 147 , 1417467426550 , 423.5711 , 383.5082
Arms , s , 147 , 1417467426621 , 418.5519 , 387.6823
Arms , s , 147 , 1417467426655 , 416.1951 , 389.152
Arms , s , 147 , 1417467426700 , 418.5656 , 398.3178
Arms , s , 147 , 1417467426736 , 418.2076 , 402.9194
Arms , s , 147 , 1417467426769 , 417.032 , 406.8021
Arms , s , 147 , 1417467426804 , 418.0042 , 407.9015
Arms , s , 147 , 1417467426848 , 417.795 , 408.9404
Arms , s , 147 , 1417467426884 , 416.1571 , 413.4565
Arms , s , 147 , 1417467426920 , 415.435 , 413.0998
Arms , s , 147 , 1417467426955 , 414.3717 , 415.8123
Arms , s , 147 , 1417467426989 , 414.7303 , 417.1276
Arms , s , 147 , 1417467427034 , 413.1566 , 418.2556
Arms , s , 147 , 1417467427068 , 405.717 , 420.8964
Arms , m , 146 , 1417467427103 , 397.6299 , 421.3682
Arms , m , 146 , 1417467427138 , 391.1947 , 422.7828
Arms , m , 146 , 1417467427173 , 383.8611 , 424.363
take , k , 141 , 1417467427219 , 232.8749 , 462.1368
take , k , 141 , 1417467427255 , 242.382 , 448.4563
take , k , 141 , 1417467427290 , 230.6083 , 459.9022
take , k , 141 , 1417467427324 , 228.8528 , 455.8741
take , k , 141 , 1417467427369 , 230.3315 , 451.2878
take , k , 141 , 1417467427508 , 229.327 , 450.5532
take , k , 141 , 1417467427542 , 253.0448 , 442.6228
take , e , 142 , 1417467427588 , 273.2664 , 439.2503
against , g , 150 , 1417467427731 , 519.9453 , 411.6756
against , a , 151 , 1417467427767 , 526.9786 , 416.3903
against , g , 150 , 1417467427802 , 513.9953 , 405.4454
against , g , 150 , 1417467427847 , 510.0263 , 410.6755
against , g , 150 , 1417467427881 , 514.3867 , 414.7271
against , g , 150 , 1417467427918 , 517.6421 , 414.647
against , g , 150 , 1417467427954 , 516.8107 , 409.1652
against , g , 150 , 1417467427989 , 514.162 , 408.1653
against , a , 151 , 1417467428024 , 525.8322 , 404.3562
against , a , 151 , 1417467428069 , 536.7794 , 402.9509
against , a , 151 , 1417467428104 , 542.6341 , 402.9786
against , a , 151 , 1417467428139 , 552.0964 , 402.2669
Sea , S , 159 , 1417467428174 , 772.3303 , 385.7644
outrageous , u , 113 , 1417467428220 , 770.4222 , 355.847
outrageous , u , 113 , 1417467428254 , 765.2631 , 378.1074
Sea , S , 159 , 1417467428289 , 772.5491 , 383.7372
Sea , S , 159 , 1417467428323 , 772.4042 , 388.2314
Sea , S , 159 , 1417467428358 , 766.9325 , 391.5289
Sea , S , 159 , 1417467428404 , 772.308 , 392.5371
outrageous , u , 120 , 1417467428438 , 975.6933 , 363.3367
troubles , t , 166 , 1417467428474 , 1002.2151 , 401.5115
troubles , t , 166 , 1417467428509 , 1000.0408 , 397.0066
troubles , t , 166 , 1417467428543 , 994.6407 , 399.8819
troubles , t , 166 , 1417467428588 , 991.9788 , 402.5685
troubles , t , 166 , 1417467428623 , 989.6116 , 407.5656
troubles , t , 166 , 1417467428657 , 988.5114 , 406.3448
troubles , s , 173 , 1417467428693 , 1203.2878 , 401.0136
troubles , s , 173 , 1417467428727 , 1185.4476 , 424.7408
troubles , s , 173 , 1417467428773 , 1190.9766 , 415.9109
troubles , s , 173 , 1417467428808 , 1193.1343 , 409.4012
troubles , s , 173 , 1417467428841 , 1192.2416 , 412.4981
troubles , e , 172 , 1417467428876 , 1178.265 , 409.588
against , a , 151 , 1417467428921 , 527.4868 , 429.597
by , y , 182 , 1417467429097 , 144.4995 , 544.5231
And , d , 179 , 1417467429143 , 65.9678 , 575.4407
And , n , 178 , 1417467429178 , 43.3546 , 590.9203
And , n , 178 , 1417467429213 , 38.7602 , 582.6855
And , d , 179 , 1417467429248 , 46.065 , 584.6869
by , b , 181 , 1417467429361 , 112.4093 , 570.726
by , b , 181 , 1417467429396 , 125.2703 , 574.7631
by , b , 181 , 1417467429430 , 132.4464 , 573.1342
by , y , 182 , 1417467429476 , 138.9514 , 570.9806
by , y , 182 , 1417467429511 , 143.9014 , 569.5916
by , y , 182 , 1417467429552 , 145.4868 , 568.4037
by , y , 182 , 1417467429586 , 146.6272 , 567.4774
by , y , 182 , 1417467429620 , 148.8997 , 568.7334
by , y , 182 , 1417467429654 , 149.0746 , 567.0428
opposing , o , 187 , 1417467429689 , 309.1521 , 514.8306
opposing , s , 188 , 1417467429734 , 332.7216 , 549.0894
opposing , s , 188 , 1417467429768 , 329.0133 , 537.3994
opposing , s , 188 , 1417467429803 , 332.0264 , 532.0445
opposing , s , 188 , 1417467429837 , 333.0489 , 528.3958
opposing , n , 190 , 1417467429881 , 379.0134 , 523.5002
end , n , 195 , 1417467429916 , 541.7024 , 516.8947
end , n , 195 , 1417467429950 , 550.8463 , 502.5009
against , i , 152 , 1417467429996 , 555.7151 , 488.0128
against , a , 151 , 1417467430031 , 554.3446 , 490.7102
against , i , 152 , 1417467430065 , 558.0617 , 494.9923
end , n , 195 , 1417467430099 , 553.1921 , 499.7186
end , n , 195 , 1417467430133 , 554.7754 , 500.0626
end , d , 196 , 1417467430179 , 556.374 , 499.5112
end , d , 196 , 1417467430215 , 570.1419 , 499.83
end , d , 196 , 1417467430250 , 584.9368 , 496.0864
against , n , 153 , 1417467430284 , 597.2768 , 489.8125
against , n , 153 , 1417467430320 , 607.9433 , 488.7841
against , n , 153 , 1417467430365 , 614.4386 , 488.3091
against , s , 154 , 1417467430400 , 620.8632 , 486.4682
against , s , 154 , 1417467430435 , 625.9623 , 483.6273
Sea , e , 160 , 1417467430470 , 809.2275 , 478.452
Sea , S , 159 , 1417467430506 , 774.4368 , 473.0167
Sea , S , 159 , 1417467430540 , 787.5236 , 465.3452
Sea , S , 159 , 1417467430586 , 791.2877 , 465.0009
Sea , e , 160 , 1417467430621 , 796.0701 , 458.4452
Sea , e , 160 , 1417467430655 , 798.1176 , 462.1382
troubles , o , 168 , 1417467430691 , 1050.9642 , 495.8694
sleep , s , 215 , 1417467431024 , 1136.5525 , 511.0855
sleep , s , 215 , 1417467431058 , 1149.6263 , 512.1337
sleep , l , 216 , 1417467431105 , 1160.6599 , 512.7081
sleep , l , 216 , 1417467431139 , 1171.5354 , 517.8713
sleep , l , 216 , 1417467431174 , 1180.8776 , 520.057
sleep , e , 217 , 1417467431210 , 1187.7283 , 520.9117
To , T , 204 , 1417467431255 , 816.9285 , 569.3997
and , n , 235 , 1417467431282 , 291.0948 , 616.0167
more , e , 231 , 1417467431400 , 185.1167 , 676.0151
more , e , 231 , 1417467431435 , 173.5803 , 682.457
more , r , 230 , 1417467431471 , 145.7332 , 684.2537
No , o , 226 , 1417467431507 , 30.3545 , 678.7659
No , o , 226 , 1417467431542 , 43.7489 , 691.2084
more , m , 228 , 1417467431694 , 80.1568 , 688.5439
more , m , 228 , 1417467431729 , 102.5102 , 686.3713
more , o , 229 , 1417467431763 , 120.2959 , 689.7756
more , r , 230 , 1417467431798 , 135.9909 , 688.7502
and , d , 236 , 1417467431844 , 332.2998 , 643.5586
and , d , 236 , 1417467431878 , 315.1452 , 617.0692
and , d , 236 , 1417467431914 , 329.3486 , 646.0837
and , d , 236 , 1417467431949 , 326.5908 , 644.908
and , d , 236 , 1417467431983 , 327.8854 , 645.5275
and , d , 236 , 1417467432030 , 335.1326 , 641.6263
and , d , 236 , 1417467432065 , 335.4687 , 646.5822
and , d , 236 , 1417467432100 , 338.6491 , 642.1993
and , d , 236 , 1417467432135 , 339.6815 , 641.5612
by , b , 238 , 1417467432251 , 380.2102 , 629.1065
by , b , 238 , 1417467432286 , 388.0968 , 627.6239
by , b , 238 , 1417467432320 , 397.2444 , 625.8952
by , y , 239 , 1417467432359 , 405.4826 , 625.6517
by , y , 239 , 1417467432394 , 415.709 , 622.2298
To , o , 205 , 1417467432429 , 838.4415 , 587.0154
To , o , 205 , 1417467432474 , 836.4047 , 602.8752
To , o , 205 , 1417467432509 , 843.7975 , 609.0642
To , o , 205 , 1417467432543 , 838.7449 , 604.519
To , o , 205 , 1417467432578 , 836.6247 , 606.3056
To , o , 205 , 1417467432613 , 835.5742 , 608.6409
end , e , 260 , 1417467432659 , 1052.2778 , 668.1389
name ,   , 214 , 1417467432693 , 1111.6038 , 609.9039
end , d , 260 , 1417467432728 , 1103.1249 , 621.3428
end , d , 260 , 1417467432762 , 1110.6611 , 618.851
end , d , 260 , 1417467432807 , 1108.5118 , 613.7734
end , d , 260 , 1417467432843 , 1108.756 , 615.8072
end , d , 260 , 1417467432878 , 1111.6642 , 613.4996
end , d , 260 , 1417467432913 , 1113.1833 , 615.5689
end , d , 260 , 1417467432948 , 1111.4524 , 612.7632
end , d , 260 , 1417467432983 , 1106.9821 , 609.663
end , d , 260 , 1417467433027 , 1109.2495 , 608.3578
Heart , r , 270 , 1417467433097 , 200.889 , 814.6608
Heart , a , 269 , 1417467433133 , 167.9008 , 826.2654
Heart , e , 268 , 1417467433167 , 154.0217 , 823.2165
Heart , e , 268 , 1417467433214 , 145.9507 , 823.8289
Heart , e , 268 , 1417467433248 , 145.7492 , 822.449
Heart , H , 267 , 1417467433284 , 133.9546 , 829.8968
That , t , 315 , 1417467433319 , 99.5387 , 827.8503
That , t , 315 , 1417467433353 , 104.2975 , 823.0264
Heart , H , 267 , 1417467433398 , 107.6912 , 825.5556
Heart , H , 267 , 1417467433433 , 112.241 , 824.849
Heart , H , 267 , 1417467433468 , 111.4759 , 823.6534
Heart , H , 267 , 1417467433501 , 113.5274 , 821.8879
Heart , H , 267 , 1417467433546 , 116.0938 , 823.8104
Heart , H , 267 , 1417467433581 , 118.22 , 823.1274
Heart , H , 267 , 1417467433615 , 122.1763 , 824.6631
Heart , H , 267 , 1417467433650 , 117.628 , 827.734
Heart , H , 267 , 1417467433694 , 114.9264 , 826.7158
Heart , H , 267 , 1417467433728 , 113.8375 , 824.6746
Heart , H , 267 , 1417467433763 , 112.9703 , 824.9408
Heart , H , 267 , 1417467433798 , 110.7424 , 823.8105
Heart , H , 267 , 1417467433843 , 111.9418 , 823.098
ache , h , 275 , 1417467433878 , 352.6755 , 757.3767
ache , h , 275 , 1417467433913 , 351.2825 , 776.2742
ache , c , 274 , 1417467433948 , 339.3177 , 778.9445
ache , c , 274 , 1417467433983 , 339.5724 , 775.1446
ache , c , 274 , 1417467434029 , 339.7316 , 779.1431
ache , c , 274 , 1417467434064 , 335.6543 , 777.5685
ache , c , 274 , 1417467434099 , 337.2992 , 776.6141
ache , c , 274 , 1417467434134 , 338.097 , 779.0359
ache , c , 274 , 1417467434169 , 343.8202 , 782.0864
ache , h , 275 , 1417467434204 , 350.666 , 784.4412
ache , h , 275 , 1417467434250 , 354.3401 , 782.1054
the , e , 285 , 1417467434284 , 660.986 , 729.225
the , e , 285 , 1417467434319 , 664.557 , 745.4312
the , e , 285 , 1417467434354 , 658.0034 , 745.6859
the , e , 285 , 1417467434389 , 655.9918 , 755.8525
the , e , 285 , 1417467434435 , 653.9562 , 763.8893
the , e , 285 , 1417467434469 , 655.7005 , 755.7449
say , a , 252 , 1417467434504 , 871.0388 , 722.2069
thousand , d , 294 , 1417467434619 , 940.8442 , 727.0289
thousand , d , 294 , 1417467434654 , 943.6687 , 723.5983
thousand , d , 294 , 1417467434689 , 937.8906 , 725.0842
thousand , d , 294 , 1417467434724 , 937.1431 , 723.7038
thousand , d , 294 , 1417467434759 , 934.0156 , 721.4079
Natural , a , 301 , 1417467434805 , 1131.519 , 729.5374
shocks , c , 307 , 1417467434840 , 1315.4354 , 811.2431
shocks , c , 307 , 1417467434876 , 1312.1931 , 798.2283
shocks , c , 307 , 1417467434910 , 1305.8491 , 798.9503
shocks , o , 306 , 1417467434954 , 1304.0582 , 791.0761
shocks , o , 306 , 1417467434989 , 1304.4749 , 793.5508
shocks , k , 308 , 1417467435024 , 1338.1617 , 768.9918
shocks , o , 306 , 1417467435060 , 1284.4225 , 776.9523
shocks , o , 306 , 1417467435095 , 1288.1237 , 789.0544
shocks , o , 306 , 1417467435130 , 1298.9285 , 777.9974
shocks , o , 306 , 1417467435176 , 1300.9728 , 775.8535
shocks , c , 307 , 1417467435211 , 1327.7909 , 772.5326
shocks , k , 308 , 1417467435247 , 1341.3716 , 768.5342
shocks , k , 308 , 1417467435281 , 1347.7413 , 769.0104
shocks , k , 308 , 1417467435315 , 1354.3696 , 769.9384
shocks , k , 308 , 1417467435361 , 1359.3444 , 769.2616
shocks , k , 308 , 1417467435396 , 1362.3557 , 769.8716
shocks , s , 309 , 1417467435431 , 1365.002 , 770.3498
shocks , s , 309 , 1417467435465 , 1366.4401 , 771.0352
shocks , s , 309 , 1417467435510 , 1365.3719 , 773.2828
shocks , k , 308 , 1417467435545 , 1364.7458 , 773.9297
shocks , k , 308 , 1417467435578 , 1364.005 , 775.3569
shocks , k , 308 , 1417467435613 , 1363.0701 , 778.6254
shocks , k , 308 , 1417467435647 , 1362.983 , 779.433
shocks , k , 308 , 1417467435693 , 1360.9518 , 780.8351
shocks , k , 308 , 1417467435728 , 1358.9197 , 781.5916
shocks , k , 308 , 1417467435763 , 1358.8683 , 782.9803
shocks , k , 308 , 1417467435798 , 1358.7123 , 785.2656
shocks , k , 308 , 1417467435832 , 1357.7588 , 786.7782
shocks , k , 308 , 1417467435878 , 1356.521 , 787.4961
shocks , k , 308 , 1417467435913 , 1356.2946 , 789.2845
shocks , k , 308 , 1417467435947 , 1354.6813 , 791.6772
shocks , k , 308 , 1417467435982 , 1353.2109 , 792.6838
shocks , k , 308 , 1417467436017 , 1352.9288 , 793.4279
shocks , k , 308 , 1417467436063 , 1351.2719 , 795.3244
shocks , k , 308 , 1417467436098 , 1349.8871 , 796.7983
shocks , k , 308 , 1417467436134 , 1348.3107 , 799.4821
shocks , k , 308 , 1417467436170 , 1346.7429 , 800.8616
shocks , k , 308 , 1417467436205 , 1346.2281 , 802.0391
shocks , k , 308 , 1417467436250 , 1344.8373 , 802.0875
shocks , k , 308 , 1417467436285 , 1343.6321 , 802.7678
end , e , 258 , 1417467436320 , 1047.5547 , 652.7892
we , w , 255 , 1417467436365 , 974.1281 , 655.1053
end , d , 260 , 1417467436539 , 1100.3101 , 700.8844
Natural , a , 301 , 1417467436575 , 1150.2588 , 721.8997
Natural , l , 302 , 1417467436610 , 1180.1272 , 736.6379
shocks , o , 306 , 1417467436655 , 1291.5576 , 738.4464
shocks , o , 306 , 1417467436690 , 1281.0378 , 763.0279
shocks , o , 306 , 1417467436724 , 1300.1499 , 766.8104
shocks , o , 306 , 1417467436758 , 1290.5184 , 763.5617
shocks , h , 305 , 1417467436803 , 1259.7791 , 742.7032
shocks , s , 304 , 1417467436838 , 1237.4431 , 727.0264
shocks , s , 304 , 1417467436873 , 1220.4135 , 724.9539
Natural , l , 302 , 1417467437059 , 1184.0988 , 713.8976
Natural , l , 302 , 1417467437094 , 1181.1312 , 714.4069
Natural , l , 302 , 1417467437129 , 1182.8623 , 715.4392
shocks , s , 304 , 1417467437430 , 1224.4738 , 736.1709
shocks , s , 304 , 1417467437465 , 1231.5028 , 731.7405
shocks , s , 304 , 1417467437499 , 1238.4519 , 725.921
shocks , h , 305 , 1417467437544 , 1246.2593 , 722.7449
shocks , h , 305 , 1417467437579 , 1251.6776 , 718.498
shocks , h , 305 , 1417467437614 , 1256.38 , 714.6764
shocks , h , 305 , 1417467437649 , 1263.1171 , 712.2133
shocks , h , 305 , 1417467437684 , 1267.4036 , 710.5529
shocks , h , 305 , 1417467437730 , 1266.2073 , 703.8318
troubles , l , 171 , 1417467437913 , 1125.4305 , 467.9246
Fortune , o , 124 , 1417467437949 , 1116.3535 , 291.914
Fortune , o , 124 , 1417467437984 , 1110.3783 , 289.8683
Fortune , o , 124 , 1417467438018 , 1104.0979 , 279.7302
Fortune , o , 124 , 1417467438055 , 1099.6611 , 276.5573
Fortune , o , 124 , 1417467438101 , 1102.5768 , 279.8034
Fortune , o , 124 , 1417467438136 , 1095.5516 , 276.6227
Arrows , s , 107 , 1417467441799 , 610.145 , 376.9575
them , e , 200 , 1417467441835 , 700.7927 , 496.7207
them , e , 200 , 1417467441870 , 690.3468 , 510.1754
them , e , 200 , 1417467441905 , 684.7856 , 489.318
against , s , 154 , 1417467441939 , 637.7816 , 435.6837
against , n , 153 , 1417467441984 , 610.6342 , 413.4693
Arrows , r , 104 , 1417467442019 , 499.5031 , 300.6094
Arrows , r , 103 , 1417467442054 , 487.3903 , 310.579
Arrows , A , 102 , 1417467442088 , 439.9034 , 274.5917
and , d , 100 , 1417467442135 , 375.3825 , 275.5853
and , n , 99 , 1417467442170 , 345.0574 , 278.3484
and , a , 98 , 1417467442206 , 320.9594 , 283.6885
Slings , g , 95 , 1417467442241 , 239.7583 , 286.8496
them , t , 198 , 1417467443498 , 620.4778 , 558.7606
them , t , 198 , 1417467443534 , 633.8723 , 556.772
them , t , 198 , 1417467443579 , 639.0494 , 547.2306
them , t , 198 , 1417467443615 , 642.6628 , 547.9177
them , h , 199 , 1417467443651 , 648.7585 , 554.7299
them , e , 200 , 1417467443686 , 677.7926 , 509.6649
against , t , 155 , 1417467443723 , 654.3883 , 493.847
against , t , 155 , 1417467443758 , 648.0751 , 493.766
them , h , 199 , 1417467443792 , 653.9145 , 568.5812
sleep , p , 245 , 1417467443828 , 661.7864 , 625.9584
Nobler , N , 57 , 1417467444163 , 380.6326 , 246.6843
tis , t , 53 , 1417467444197 , 271.3118 , 184.2684
tis , t , 53 , 1417467444243 , 273.6399 , 177.2395
tis , t , 53 , 1417467444278 , 269.9429 , 179.6559
tis , t , 53 , 1417467444313 , 269.7302 , 181.2184
Whether , e , 49 , 1417467444384 , 136.3741 , 192.3461
Whether , e , 46 , 1417467444419 , 57.4397 , 195.9617
Whether , t , 47 , 1417467444465 , 81.4719 , 194.7872
Whether , t , 47 , 1417467444500 , 92.1255 , 195.3837
Whether , t , 47 , 1417467444535 , 81.3664 , 189.8052
Whether , t , 47 , 1417467444570 , 82.4626 , 182.7439
Whether , t , 47 , 1417467444605 , 79.7046 , 177.7831
Whether , t , 47 , 1417467444650 , 81.976 , 175.0645
Whether , t , 47 , 1417467444685 , 81.5897 , 173.3277
Whether , t , 47 , 1417467444721 , 83.2749 , 169.535
Whether , t , 47 , 1417467444757 , 84.446 , 167.2923
Whether , t , 47 , 1417467444792 , 84.3282 , 167.0938
Whether , t , 47 , 1417467444827 , 84.7343 , 165.9226
Whether , t , 47 , 1417467444873 , 85.7894 , 163.2976
Whether , t , 47 , 1417467444908 , 87.5136 , 162.028
Whether , t , 47 , 1417467444944 , 87.8414 , 159.8145
Whether , t , 47 , 1417467444978 , 87.4957 , 158.6705
Whether , t , 47 , 1417467445013 , 87.386 , 158.2823
Whether , t , 47 , 1417467445058 , 85.951 , 157.5546
Whether , t , 47 , 1417467445093 , 84.9696 , 157.2993
Whether , t , 47 , 1417467445128 , 85.2602 , 156.9726
Whether , t , 47 , 1417467445163 , 87.1631 , 156.6561
Whether , t , 47 , 1417467445197 , 86.5406 , 157.06
Whether , t , 47 , 1417467445243 , 87.3403 , 156.7892
Whether , t , 47 , 1417467445279 , 87.836 , 156.4879
