Flesh , e , 319 , 1418592368126 , 165.2991 , 721.6982
suffer , s , 79 , 1418592371820 , 833.7251 , 141.2338
suffer , s , 79 , 1418592371902 , 828.5984 , 129.3598
suffer , s , 79 , 1418592371937 , 836.0828 , 133.1028
suffer , s , 79 , 1418592371972 , 844.1224 , 137.9711
suffer , s , 79 , 1418592372007 , 850.5137 , 142.6863
Arrows , o , 105 , 1418592372041 , 422.2473 , 254.007
Slings , i , 93 , 1418592372076 , 147.352 , 225.9348
Slings , i , 93 , 1418592372120 , 138.4893 , 218.7292
Whether , e , 49 , 1418592372155 , 123.9686 , 206.1161
Whether , e , 49 , 1418592372189 , 120.9849 , 205.891
Slings , l , 92 , 1418592372224 , 129.5583 , 220.1462
Slings , l , 92 , 1418592372270 , 124.5762 , 242.6773
Slings , l , 92 , 1418592372304 , 116.127 , 250.7744
Slings , l , 92 , 1418592372338 , 111.9456 , 215.7778
Slings , s , 96 , 1418592372374 , 213.5024 , 220.5274
and , a , 98 , 1418592372419 , 268.7119 , 239.3434
and , d , 100 , 1418592372453 , 306.4111 , 239.2249
Arrows , r , 104 , 1418592372486 , 419.5722 , 269.4391
Arrows , o , 105 , 1418592372520 , 423.7878 , 227.9125
of , f , 110 , 1418592372602 , 554.1386 , 224.0232
outrageous , o , 112 , 1418592372670 , 598.2564 , 241.2906
outrageous , r , 115 , 1418592372705 , 673.458 , 248.1947
outrageous , u , 113 , 1418592372751 , 635.1259 , 213.6672
outrageous , t , 114 , 1418592372785 , 648.2921 , 212.4403
outrageous , t , 114 , 1418592372820 , 644.1838 , 213.8528
outrageous , g , 117 , 1418592372855 , 708.3688 , 209.1534
to , t , 76 , 1418592372890 , 769.5814 , 201.4624
Fortune , n , 128 , 1418592372972 , 984.0121 , 211.25
Fortune , n , 128 , 1418592373007 , 983.6102 , 207.992
Fortune , n , 128 , 1418592373041 , 983.9252 , 229.1534
Fortune , n , 128 , 1418592373077 , 975.8051 , 227.9109
Fortune , n , 128 , 1418592373122 , 979.4235 , 210.726
Fortune , n , 128 , 1418592373157 , 975.3889 , 210.6743
Fortune , n , 128 , 1418592373191 , 974.7209 , 215.061
Fortune , n , 128 , 1418592373226 , 976.5129 , 210.0221
Fortune , u , 127 , 1418592373261 , 967.7129 , 213.2655
Slings , n , 94 , 1418592373306 , 171.0807 , 290.5071
Or , O , 133 , 1418592373341 , 1.1741 , 303.2065
The , T , 87 , 1418592373375 , 10.2803 , 296.4107
The , T , 87 , 1418592373409 , 8.8248 , 297.4118
The , h , 88 , 1418592373456 , 18.8897 , 288.1353
Or , r , 134 , 1418592373490 , 34.5169 , 304.0347
and , a , 98 , 1418592373640 , 268.9789 , 243.7864
Arms , r , 145 , 1418592373675 , 283.4978 , 310.3504
Arms , A , 144 , 1418592373710 , 265.0497 , 309.0157
and , a , 98 , 1418592373745 , 252.641 , 292.6935
and , a , 98 , 1418592373779 , 252.6199 , 284.7491
and , n , 99 , 1418592373824 , 289.4981 , 281.4194
Arrows , w , 106 , 1418592373858 , 464.9572 , 264.8019
of , o , 109 , 1418592373927 , 533.9687 , 278.2274
of , o , 109 , 1418592373971 , 517.2394 , 268.4362
of , o , 109 , 1418592374076 , 526.9112 , 292.4663
outrageous , a , 116 , 1418592374112 , 705.574 , 287.5556
Sea , e , 160 , 1418592374157 , 649.0374 , 334.8875
Sea , a , 161 , 1418592374192 , 678.2553 , 319.1992
Sea , a , 161 , 1418592374228 , 673.6921 , 307.6467
of , f , 164 , 1418592374263 , 734.3593 , 305.4193
outrageous , o , 119 , 1418592374308 , 765.1439 , 296.5145
outrageous , u , 120 , 1418592374450 , 791.1296 , 296.8235
troubles , t , 166 , 1418592374485 , 802.0838 , 299.5933
Fortune , F , 123 , 1418592374520 , 852.6459 , 275.7668
troubles , u , 169 , 1418592374565 , 853.5796 , 325.9426
a , a , 157 , 1418592374599 , 577.5975 , 326.3567
against , i , 152 , 1418592374634 , 446.0805 , 333.3153
against , a , 149 , 1418592374669 , 394.5558 , 340.3553
take , k , 141 , 1418592374749 , 199.9207 , 348.1526
take , k , 141 , 1418592374784 , 202.013 , 379.0388
take , k , 141 , 1418592374819 , 192.203 , 386.5615
by , y , 182 , 1418592374853 , 128.2772 , 412.7444
And , d , 179 , 1418592374933 , 59.0639 , 421.1328
And , n , 178 , 1418592374968 , 23.8917 , 425.9067
And , A , 177 , 1418592375003 , 11.8549 , 450.3281
And , A , 177 , 1418592375037 , -6.107 , 441.6653
And , A , 177 , 1418592375083 , -6.0753 , 442.0439
And , A , 177 , 1418592375117 , 5.0168 , 426.2701
And , n , 178 , 1418592375153 , 21.9172 , 423.039
And , d , 179 , 1418592375188 , 38.0365 , 420.5731
And , d , 179 , 1418592375223 , 52.872 , 419.4465
end , e , 194 , 1418592375303 , 414.4673 , 403.5974
them , t , 198 , 1418592375338 , 507.6575 , 414.1284
them , t , 198 , 1418592375372 , 494.643 , 406.9592
of , f , 164 , 1418592375707 , 747.1314 , 387.6257
of , f , 164 , 1418592375742 , 737.8798 , 389.8021
die , i , 208 , 1418592375787 , 734.8551 , 393.4357
die , i , 208 , 1418592375821 , 732.2068 , 391.9005
of , o , 163 , 1418592375856 , 725.7582 , 389.1026
of , o , 163 , 1418592375891 , 715.2969 , 388.9011
of , o , 163 , 1418592375927 , 708.3932 , 387.3918
troubles , b , 170 , 1418592376007 , 899.2737 , 371.5706
sleep , l , 216 , 1418592376041 , 932.5927 , 431.9113
sleep , l , 216 , 1418592376076 , 947.5394 , 435.167
sleep , l , 216 , 1418592376111 , 936.6814 , 419.9442
sleep , l , 216 , 1418592376157 , 933.7806 , 419.3951
sleep , l , 216 , 1418592376190 , 931.9987 , 410.8447
sleep , l , 216 , 1418592376224 , 925.522 , 413.1048
sleep , l , 216 , 1418592376260 , 941.6486 , 406.2645
sleep , l , 216 , 1418592376305 , 945.8839 , 411.3042
No , N , 223 , 1418592376374 , -8.839 , 511.7488
No , N , 223 , 1418592376409 , 2.026 , 491.5782
No , o , 224 , 1418592376444 , 22.5916 , 500.9607
No , o , 224 , 1418592376490 , 26.4222 , 507.891
No , o , 224 , 1418592376525 , 35.3215 , 508.9797
No , o , 224 , 1418592376593 , 27.274 , 542.1876
No , o , 224 , 1418592376639 , 30.2025 , 517.5579
No , o , 224 , 1418592376674 , 20.6096 , 515.0353
No , o , 224 , 1418592376709 , 32.3868 , 506.6697
No , o , 224 , 1418592376744 , 35.6876 , 511.9712
No , o , 224 , 1418592376778 , 35.175 , 518.0653
opposing , p , 186 , 1418592376858 , 225.9904 , 470.3371
opposing , g , 191 , 1418592377112 , 347.8484 , 461.3629
opposing , g , 191 , 1418592377193 , 344.7163 , 463.423
opposing , g , 191 , 1418592377227 , 342.4268 , 475.6372
opposing , g , 191 , 1418592377262 , 339.744 , 474.0613
opposing , g , 191 , 1418592377297 , 343.785 , 467.6486
opposing , g , 191 , 1418592377331 , 344.0364 , 467.0956
to , o , 249 , 1418592377445 , 626.7179 , 491.0739
To , T , 204 , 1418592377561 , 637.1794 , 460.5322
To , T , 204 , 1418592377595 , 642.7362 , 451.8825
To , T , 204 , 1418592377630 , 648.5547 , 450.1244
To , T , 204 , 1418592377664 , 650.1193 , 448.5334
To , T , 204 , 1418592377710 , 654.566 , 440.9043
To , o , 205 , 1418592377746 , 669.6075 , 449.1595
To , o , 205 , 1418592377780 , 683.1724 , 448.5599
die , d , 207 , 1418592377896 , 711.1516 , 457.257
die , d , 207 , 1418592377930 , 723.2466 , 452.297
die , d , 207 , 1418592377966 , 726.1202 , 452.6192
die , d , 207 , 1418592378001 , 731.4001 , 450.5038
die , i , 208 , 1418592378046 , 739.7278 , 449.7293
die , i , 208 , 1418592378081 , 750.4963 , 448.0371
die , e , 209 , 1418592378116 , 756.4977 , 449.8522
die , e , 209 , 1418592378150 , 763.0421 , 453.2946
sleep , l , 216 , 1418592378185 , 940.9081 , 459.1254
end , d , 260 , 1418592378220 , 876.7618 , 522.7361
end , d , 260 , 1418592378264 , 885.8664 , 493.8257
end , d , 260 , 1418592378299 , 885.2369 , 510.8613
end , d , 260 , 1418592378335 , 886.3118 , 506.239
end , d , 260 , 1418592378370 , 883.8564 , 503.4509
end , n , 259 , 1418592378405 , 874.2206 , 506.3035
end , d , 260 , 1418592378449 , 879.0534 , 500.9799
end , d , 260 , 1418592378484 , 876.5863 , 502.071
end , d , 260 , 1418592378519 , 881.7294 , 492.7245
Heart , H , 267 , 1418592378600 , 102.437 , 591.2675
Heart , e , 268 , 1418592378635 , 128.0219 , 586.5533
Heart , e , 268 , 1418592378670 , 129.8473 , 576.7739
Heart , a , 269 , 1418592378705 , 136.1603 , 582.0941
Heart , a , 269 , 1418592378740 , 140.2232 , 582.2981
Heart , a , 269 , 1418592378784 , 151.1335 , 582.3945
more , r , 228 , 1418592378819 , 122.2819 , 567.3638
The , e , 265 , 1418592378889 , 58.0962 , 616.8362
The , e , 265 , 1418592378924 , 47.7081 , 612.4498
The , e , 265 , 1418592378970 , 40.5378 , 606.2483
The , h , 264 , 1418592379005 , 34.931 , 614.2645
end , e , 194 , 1418592379076 , 416.7277 , 447.8479
a , a , 239 , 1418592379145 , 394.9183 , 491.0345
a , a , 239 , 1418592379190 , 386.6651 , 491.9257
a , a , 239 , 1418592379225 , 381.06 , 500.9288
a , a , 239 , 1418592379260 , 377.8515 , 498.9526
die , i , 208 , 1418592379294 , 741.8324 , 479.9241
die , e , 209 , 1418592379340 , 777.6743 , 456.2035
die , e , 209 , 1418592379375 , 777.5217 , 455.8487
die , e , 209 , 1418592379409 , 776.3976 , 457.7513
die , e , 209 , 1418592379478 , 776.4807 , 465.3259
die , e , 209 , 1418592379524 , 778.5988 , 473.1317
die , e , 209 , 1418592379558 , 771.9586 , 481.6035
them , e , 200 , 1418592379593 , 546.0933 , 444.9025
sleep , e , 243 , 1418592379628 , 485.563 , 531.7014
sleep , e , 244 , 1418592379673 , 513.4554 , 502.5482
sleep , p , 245 , 1418592379708 , 519.6568 , 512.2329
sleep , p , 245 , 1418592379777 , 538.4482 , 503.0428
sleep , p , 245 , 1418592380042 , 537.028 , 504.2958
sleep , p , 245 , 1418592380077 , 529.8 , 507.8367
sleep , p , 245 , 1418592380112 , 519.2658 , 501.6219
sleep , e , 244 , 1418592380147 , 513.4578 , 504.8274
sleep , e , 244 , 1418592380192 , 510.7093 , 506.8394
against , t , 155 , 1418592380229 , 537.4189 , 339.77
sleep , l , 242 , 1418592380264 , 467.8094 , 524.4366
sleep , e , 244 , 1418592380299 , 493.1867 , 510.6789
sleep , e , 244 , 1418592380333 , 514.8171 , 496.1052
them , t , 198 , 1418592380368 , 515.6216 , 471.6034
them , t , 198 , 1418592380413 , 512.7769 , 470.5695
them , t , 198 , 1418592380446 , 501.7559 , 480.1002
them , t , 198 , 1418592380481 , 496.4004 , 472.9217
them , t , 198 , 1418592380516 , 498.0179 , 480.1755
sleep , e , 244 , 1418592380560 , 503.0204 , 483.959
sleep , e , 244 , 1418592380595 , 504.4387 , 485.8411
sleep , e , 244 , 1418592380631 , 506.1932 , 487.273
sleep , e , 244 , 1418592380666 , 511.8361 , 487.068
them , t , 198 , 1418592380701 , 513.681 , 482.209
them , h , 199 , 1418592380746 , 517.6776 , 477.1946
them , t , 198 , 1418592380781 , 513.4175 , 479.0618
them , t , 198 , 1418592380816 , 510.6794 , 480.6237
them , t , 198 , 1418592380851 , 511.0743 , 478.7938
them , t , 198 , 1418592380886 , 508.0258 , 475.9745
them , t , 198 , 1418592380931 , 505.1097 , 474.7384
them , t , 198 , 1418592380965 , 502.8883 , 475.41
them , t , 198 , 1418592381001 , 498.6815 , 477.3809
them , t , 198 , 1418592381036 , 495.4711 , 482.2449
them , t , 198 , 1418592381070 , 493.9391 , 482.3398
sleep , l , 242 , 1418592381299 , 458.7748 , 512.2338
end , d , 196 , 1418592381334 , 450.7035 , 464.7631
end , d , 196 , 1418592381403 , 467.4716 , 435.247
end , d , 196 , 1418592381448 , 463.7807 , 435.0123
end , d , 196 , 1418592381484 , 460.2533 , 443.502
end , d , 196 , 1418592382477 , 465.5542 , 451.47
end , d , 196 , 1418592382522 , 466.3558 , 450.5925
end , d , 196 , 1418592382557 , 464.4966 , 449.3982
end , d , 196 , 1418592382591 , 462.6759 , 450.2157
end , d , 196 , 1418592382625 , 462.1857 , 451.0927
end , d , 196 , 1418592382671 , 461.9814 , 457.1463
end , d , 196 , 1418592382705 , 463.0077 , 462.6409
end , d , 196 , 1418592382740 , 465.7372 , 461.2154
end , d , 196 , 1418592383557 , 465.4985 , 455.4226
end , d , 196 , 1418592383593 , 465.7371 , 453.1215
end , d , 196 , 1418592383778 , 466.8654 , 446.0006
end , d , 196 , 1418592383813 , 466.2644 , 444.4451
end , d , 196 , 1418592383847 , 465.9816 , 447.1851
end , d , 196 , 1418592383892 , 465.9525 , 449.8463
end , d , 196 , 1418592383927 , 465.9476 , 451.5686
end , d , 196 , 1418592383962 , 467.2967 , 448.0077
end , d , 196 , 1418592383997 , 467.2898 , 445.7178
end , d , 196 , 1418592384032 , 466.2982 , 447.0713
end , d , 196 , 1418592384078 , 463.8965 , 442.8958
end , d , 196 , 1418592384113 , 463.3476 , 443.2139
end , d , 196 , 1418592384147 , 464.0738 , 442.7392
end , d , 196 , 1418592384183 , 467.5531 , 440.8001
end , d , 196 , 1418592384217 , 467.6321 , 439.2147
end , d , 196 , 1418592384263 , 467.1159 , 435.6732
end , d , 196 , 1418592384332 , 467.8509 , 431.7071
end , d , 196 , 1418592384447 , 466.9693 , 429.814
end , d , 196 , 1418592384483 , 464.0929 , 432.7846
end , d , 196 , 1418592384517 , 464.5948 , 429.8302
end , d , 196 , 1418592384552 , 464.4778 , 431.8792
end , d , 196 , 1418592384586 , 462.0792 , 428.5711
end , d , 196 , 1418592384631 , 461.0413 , 426.2253
end , d , 196 , 1418592384667 , 459.6843 , 422.6161
end , d , 196 , 1418592384702 , 458.7383 , 423.8552
end , d , 196 , 1418592384737 , 457.6451 , 425.383
end , d , 196 , 1418592384771 , 454.9474 , 421.8175
end , d , 196 , 1418592384817 , 453.3307 , 423.5437
end , d , 196 , 1418592384852 , 453.4303 , 422.4706
end , d , 196 , 1418592384887 , 451.6826 , 422.5114
end , d , 196 , 1418592384921 , 451.786 , 420.7739
end , d , 196 , 1418592384967 , 450.6031 , 421.5308
end , d , 196 , 1418592385003 , 449.5918 , 423.485
end , d , 196 , 1418592385038 , 447.4338 , 425.2862
end , d , 196 , 1418592385073 , 445.2372 , 425.7294
end , n , 195 , 1418592385107 , 442.6816 , 426.9445
end , n , 195 , 1418592385141 , 442.428 , 428.3248
end , n , 195 , 1418592385186 , 440.7709 , 427.7562
end , n , 195 , 1418592385221 , 439.6684 , 426.8515
end , n , 195 , 1418592385257 , 437.9694 , 427.6547
end , n , 195 , 1418592385292 , 436.0245 , 426.8748
end , n , 195 , 1418592385326 , 432.9269 , 427.7561
end , n , 195 , 1418592385371 , 434.4682 , 427.6067
end , n , 195 , 1418592385405 , 434.1101 , 426.61
end , n , 195 , 1418592385440 , 431.8625 , 425.6866
end , n , 195 , 1418592385475 , 431.7964 , 424.96
end , n , 195 , 1418592385521 , 433.2321 , 426.7109
end , n , 195 , 1418592385555 , 431.4011 , 428.0146
end , n , 195 , 1418592385590 , 431.3341 , 425.9743
end , n , 195 , 1418592385626 , 431.2081 , 424.0605
end , n , 195 , 1418592385661 , 432.6792 , 424.7179
end , n , 195 , 1418592385706 , 432.1789 , 423.8467
end , n , 195 , 1418592385740 , 434.323 , 422.3502
end , n , 195 , 1418592385776 , 435.1211 , 422.2978
end , n , 195 , 1418592385812 , 434.1613 , 421.8918
end , n , 195 , 1418592385846 , 437.1185 , 424.0178
end , n , 195 , 1418592385881 , 437.2633 , 423.4881
end , n , 195 , 1418592385927 , 437.5149 , 423.3949
end , n , 195 , 1418592385962 , 437.5217 , 422.5157
end , n , 195 , 1418592385996 , 437.1902 , 421.4143
end , n , 195 , 1418592386030 , 435.0555 , 419.7051
end , n , 195 , 1418592386076 , 435.5911 , 416.7116
end , n , 195 , 1418592386110 , 435.1478 , 418.6122
end , n , 195 , 1418592386145 , 434.8199 , 417.5964
end , n , 195 , 1418592386181 , 433.0837 , 418.6856
end , n , 195 , 1418592386226 , 433.1113 , 418.9082
end , n , 195 , 1418592386364 , 431.3065 , 419.8907
end , n , 195 , 1418592386399 , 429.5604 , 419.7151
end , n , 195 , 1418592386445 , 429.3266 , 418.9497
end , n , 195 , 1418592386481 , 428.1356 , 416.3643
end , n , 195 , 1418592386515 , 427.4184 , 418.9117
end , n , 195 , 1418592386548 , 425.6105 , 420.6495
end , n , 195 , 1418592386594 , 425.1208 , 420.9866
end , n , 195 , 1418592386628 , 424.7102 , 419.9451
end , n , 195 , 1418592386662 , 424.1064 , 419.1152
end , n , 195 , 1418592386696 , 421.5433 , 423.0773
end , e , 194 , 1418592386742 , 418.8129 , 418.9519
end , e , 194 , 1418592386777 , 416.3551 , 420.8138
end , e , 194 , 1418592386812 , 418.4191 , 420.8958
end , e , 194 , 1418592386847 , 418.4638 , 421.1281
end , e , 194 , 1418592386881 , 417.2393 , 420.411
end , e , 194 , 1418592386927 , 417.1294 , 419.4398
end , e , 194 , 1418592386963 , 416.8423 , 419.4301
Devoutly , D , 356 , 1418592387031 , -240.7971 , 775.4014
Devoutly , D , 356 , 1418592387066 , -219.9894 , 792.8226
That , h , 313 , 1418592387111 , 19.4059 , 685.4738
No , o , 224 , 1418592387147 , 16.404 , 543.7082
more , r , 228 , 1418592387181 , 116.2467 , 509.5201
end , n , 195 , 1418592387215 , 426.5591 , 411.5354
opposing , g , 191 , 1418592387262 , 332.3081 , 456.6837
Natural , l , 302 , 1418592387296 , 930.4538 , 643.9909
is , s , 27 , 1418592387629 , 621.5623 , 96.9604
the , h , 68 , 1418592387664 , 587.3371 , 206.9354
of , f , 110 , 1418592387732 , 554.0156 , 250.1765
of , f , 110 , 1418592387778 , 550.5195 , 248.0313
outrageous , u , 113 , 1418592387962 , 627.6007 , 275.089
mind , m , 71 , 1418592388031 , 636.5374 , 162.3449
we , e , 256 , 1418592388077 , 790.5016 , 495.062
die , d , 207 , 1418592388113 , 730.0623 , 449.5039
shocks , c , 307 , 1418592388368 , 1054.1848 , 584.2518
sleep , e , 243 , 1418592388437 , 472.2259 , 493.9683
them , t , 198 , 1418592388518 , 507.9096 , 455.7421
them , t , 198 , 1418592388587 , 503.7616 , 463.4122
them , h , 199 , 1418592388621 , 519.8304 , 443.5388
them , m , 201 , 1418592388666 , 576.8136 , 441.9409
a , a , 157 , 1418592388701 , 567.3721 , 325.9367
them , e , 200 , 1418592388772 , 546.6319 , 394.8456
them , h , 199 , 1418592388807 , 537.4683 , 422.7832
them , h , 199 , 1418592388851 , 526.8919 , 436.0034
them , h , 199 , 1418592388887 , 524.9564 , 453.9062
them , h , 199 , 1418592388922 , 527.7516 , 455.8282
them , h , 199 , 1418592388956 , 531.2705 , 449.291
them , h , 199 , 1418592388991 , 534.6422 , 445.6425
them , h , 199 , 1418592389037 , 538.5501 , 435.0537
them , h , 199 , 1418592389073 , 536.975 , 440.1491
them , h , 199 , 1418592389108 , 528.3312 , 447.7646
them , h , 199 , 1418592389142 , 524.1354 , 453.7697
them , h , 199 , 1418592389176 , 525.9182 , 452.9018
them , h , 199 , 1418592389222 , 526.5065 , 454.0995
them , h , 199 , 1418592389257 , 526.9916 , 454.4666
them , h , 199 , 1418592389292 , 524.3282 , 450.9145
them , h , 199 , 1418592389327 , 524.6174 , 454.9812
them , h , 199 , 1418592389361 , 524.8803 , 455.0566
them , h , 199 , 1418592389397 , 522.0231 , 458.0391
them , h , 199 , 1418592389442 , 520.3596 , 456.3295
them , h , 199 , 1418592389477 , 516.7581 , 461.1594
them , t , 198 , 1418592389512 , 515.9957 , 459.1854
them , h , 199 , 1418592389546 , 516.7531 , 458.4071
them , h , 199 , 1418592389591 , 516.999 , 459.1128
them , t , 198 , 1418592389627 , 515.3083 , 455.2176
them , t , 198 , 1418592389662 , 514.8663 , 454.1942
them , t , 198 , 1418592389697 , 514.3727 , 457.3397
them , t , 198 , 1418592389731 , 512.1991 , 460.3962
them , t , 198 , 1418592389777 , 514.7195 , 455.6969
them , t , 198 , 1418592389812 , 510.8932 , 456.395
them , t , 198 , 1418592389847 , 510.6137 , 458.3242
them , t , 198 , 1418592389881 , 507.9839 , 461.4566
them , t , 198 , 1418592389917 , 504.7669 , 460.2443
them , t , 198 , 1418592389963 , 506.3536 , 459.3522
them , t , 198 , 1418592389997 , 506.6711 , 455.2779
them , t , 198 , 1418592390032 , 505.9319 , 457.6015
them , t , 198 , 1418592390067 , 505.9193 , 454.3094
them , t , 198 , 1418592390112 , 505.3853 , 453.7103
them , t , 198 , 1418592390252 , 504.2007 , 450.5657
them , t , 198 , 1418592390287 , 502.8266 , 449.6382
them , t , 198 , 1418592390332 , 502.4188 , 447.9302
them , t , 198 , 1418592390366 , 502.253 , 448.7231
them , t , 198 , 1418592390400 , 500.9993 , 450.5592
them , t , 198 , 1418592390435 , 499.522 , 448.0377
them , t , 198 , 1418592390479 , 497.5295 , 446.5737
them , t , 198 , 1418592390515 , 497.5364 , 442.4184
them , t , 198 , 1418592390551 , 498.8004 , 439.6083
them , t , 198 , 1418592390586 , 496.7689 , 436.3331
them , t , 198 , 1418592390621 , 497.6192 , 434.6893
them , t , 198 , 1418592390655 , 496.3964 , 432.1153
them , t , 198 , 1418592390700 , 494.6598 , 430.8664
them , t , 198 , 1418592390735 , 494.6536 , 427.6702
them , t , 198 , 1418592390771 , 494.1696 , 424.4961
them , t , 198 , 1418592390806 , 493.4341 , 424.735
end , d , 196 , 1418592393107 , 466.5413 , 441.3921
end , d , 196 , 1418592393143 , 466.6822 , 438.5632
end , d , 196 , 1418592393177 , 466.2635 , 433.7347
end , d , 196 , 1418592393212 , 464.9493 , 431.7578
end , d , 196 , 1418592393247 , 463.6815 , 431.1556
end , d , 196 , 1418592393293 , 460.535 , 426.1886
end , d , 196 , 1418592393329 , 458.0348 , 424.7534
end , d , 196 , 1418592393363 , 456.7802 , 417.3924
end , d , 196 , 1418592393399 , 452.1442 , 415.5367
end , d , 196 , 1418592393433 , 449.8488 , 408.4167
end , d , 196 , 1418592393468 , 446.6631 , 411.2972
end , d , 196 , 1418592393513 , 444.1785 , 409.4827
end , n , 195 , 1418592393547 , 440.4171 , 402.9021
end , n , 195 , 1418592393583 , 436.4601 , 397.1692
end , n , 195 , 1418592393619 , 433.2237 , 391.4781
against , a , 151 , 1418592393664 , 426.997 , 386.4955
against , a , 151 , 1418592393699 , 423.8116 , 381.1031
against , a , 151 , 1418592393732 , 423.0238 , 381.1621
against , a , 151 , 1418592393767 , 421.0664 , 377.7801
against , a , 151 , 1418592393802 , 420.1624 , 377.3897
against , g , 150 , 1418592393847 , 419.723 , 379.0902
against , g , 150 , 1418592393882 , 417.0676 , 379.134
against , g , 150 , 1418592393916 , 414.7944 , 379.8351
against , g , 150 , 1418592393950 , 412.8975 , 380.8676
against , g , 150 , 1418592393997 , 411.7891 , 381.2572
against , g , 150 , 1418592394032 , 410.3242 , 380.1967
against , g , 150 , 1418592394066 , 409.6378 , 382.6748
against , g , 150 , 1418592394101 , 408.6955 , 384.4504
against , g , 150 , 1418592394135 , 408.6065 , 387.8665
against , g , 150 , 1418592394181 , 408.2956 , 388.9851
against , g , 150 , 1418592394216 , 407.701 , 389.1785
end , e , 194 , 1418592394251 , 405.7577 , 391.7349
end , e , 194 , 1418592394285 , 404.4212 , 392.4791
end , e , 194 , 1418592394320 , 403.5493 , 394.8746
end , e , 194 , 1418592394365 , 403.5792 , 392.6038
end , e , 194 , 1418592394400 , 404.2113 , 393.2953
end , e , 194 , 1418592394435 , 402.9359 , 395.2072
end , e , 194 , 1418592394470 , 405.4341 , 396.9467
end , e , 194 , 1418592394505 , 406.0836 , 401.3418
end , e , 194 , 1418592394550 , 406.96 , 402.1002
end , e , 194 , 1418592394585 , 406.9637 , 403.6146
end , e , 194 , 1418592394620 , 406.5126 , 407.0422
end , e , 194 , 1418592394655 , 408.7269 , 409.8225
end , e , 194 , 1418592394700 , 407.2758 , 414.1541
end , e , 194 , 1418592394735 , 407.3807 , 415.1683
end , e , 194 , 1418592394770 , 406.7965 , 416.2396
end , e , 194 , 1418592394806 , 403.997 , 418.2915
end , e , 194 , 1418592394841 , 401.7509 , 419.0304
end , e , 194 , 1418592394876 , 399.6037 , 420.0231
end , e , 194 , 1418592394922 , 399.0673 , 420.813
sleep , e , 244 , 1418592395394 , 509.8634 , 514.632
end , d , 196 , 1418592395440 , 456.9606 , 460.0759
end , d , 196 , 1418592395476 , 458.8891 , 453.1611
end , d , 196 , 1418592395510 , 459.273 , 444.2182
end , d , 196 , 1418592395546 , 457.9177 , 447.6627
end , d , 196 , 1418592395581 , 450.0501 , 458.7988
end , d , 196 , 1418592395615 , 452.2973 , 457.369
end , d , 196 , 1418592395662 , 450.5034 , 454.016
end , d , 196 , 1418592395696 , 445.2664 , 459.2649
end , d , 196 , 1418592395731 , 449.1953 , 458.32
end , d , 196 , 1418592395766 , 449.4441 , 459.472
end , d , 196 , 1418592395801 , 455.1602 , 459.9821
