troubles , r , 167 , 1418351660284 , 808.9231 , 384.4247
many , m , 18 , 1418351681049 , 398.8257 , 83.5725
many , m , 18 , 1418351681084 , 399.9455 , 82.9574
many , m , 18 , 1418351681119 , 399.6688 , 81.8036
many , m , 18 , 1418351681164 , 404.4988 , 87.3576
time , e , 28 , 1418351681267 , 658.7585 , 91.0388
time , e , 28 , 1418351681362 , 659.2523 , 94.9974
rated , d , 66 , 1418351681387 , 656.5251 , 139.4143
Rialto , l , 49 , 1418351681458 , 233.9166 , 148.9142
Rialto , R , 46 , 1418351681492 , 169.5602 , 154.3651
the , e , 44 , 1418351681561 , 124.5841 , 163.4124
the , t , 42 , 1418351681608 , 62.9217 , 205.1281
In , I , 39 , 1418351681642 , -68.8105 , 202.5682
In , I , 39 , 1418351681677 , -57.3274 , 198.3214
In , I , 39 , 1418351681711 , -63.1163 , 186.5192
In , I , 39 , 1418351681755 , -58.3101 , 188.1389
In , I , 39 , 1418351681789 , -57.028 , 184.9945
In , I , 39 , 1418351681824 , -56.2238 , 187.7293
In , I , 39 , 1418351681859 , -57.9011 , 187.4497
have , a , 58 , 1418351681938 , 459.1631 , 204.4921
my , m , 92 , 1418351681973 , 473.3417 , 209.5558
have , v , 59 , 1418351682007 , 480.7845 , 206.2366
my , m , 92 , 1418351682051 , 480.0017 , 207.1346
my , m , 92 , 1418351682085 , 483.8754 , 208.8654
my , m , 92 , 1418351682119 , 483.0677 , 209.0061
have , v , 59 , 1418351682153 , 484.277 , 204.9435
my , m , 92 , 1418351682199 , 487.9092 , 208.4732
rated , d , 66 , 1418351682267 , 647.7984 , 189.2842
rated , d , 66 , 1418351682301 , 653.5814 , 197.0578
rated , d , 66 , 1418351682346 , 654.7626 , 190.1323
rated , d , 66 , 1418351682381 , 657.2596 , 191.269
rated , d , 66 , 1418351682416 , 653.5848 , 189.3294
rated , e , 65 , 1418351682450 , 635.8511 , 191.7304
rated , e , 65 , 1418351682496 , 627.4391 , 190.8392
rated , e , 65 , 1418351682530 , 621.0515 , 194.4532
rated , e , 65 , 1418351682565 , 613.9767 , 198.478
rated , t , 64 , 1418351682600 , 606.8458 , 199.5272
rated , t , 64 , 1418351682635 , 592.3365 , 204.2587
rated , a , 63 , 1418351682681 , 581.4771 , 204.443
rated , a , 63 , 1418351682716 , 575.9033 , 206.8673
usances , s , 96 , 1418351682757 , 570.8998 , 208.9006
usances , s , 96 , 1418351682792 , 564.8998 , 209.9036
usances , u , 95 , 1418351682827 , 560.4974 , 211.2594
usances , u , 95 , 1418351682862 , 555.2952 , 211.9263
usances , u , 95 , 1418351682897 , 550.2694 , 211.9534
usances , u , 95 , 1418351682932 , 546.7478 , 211.4354
usances , u , 95 , 1418351682977 , 543.6143 , 212.1524
usances , u , 95 , 1418351683011 , 542.6471 , 210.4961
usances , u , 95 , 1418351683046 , 541.1537 , 209.3582
usances , u , 95 , 1418351683081 , 540.7012 , 210.6255
usances , u , 95 , 1418351683116 , 540.5521 , 209.9179
usances , u , 95 , 1418351683162 , 540.1575 , 209.5284
usances , u , 95 , 1418351683233 , 540.1545 , 208.3519
usances , u , 95 , 1418351683380 , 546.1359 , 213.4362
that , t , 297 , 1418351683415 , 527.1313 , 711.1523
usances , n , 98 , 1418351683531 , 616.8397 , 232.9759
usances , n , 98 , 1418351683567 , 619.8988 , 210.0277
rated , e , 65 , 1418351683602 , 616.573 , 191.1131
rated , e , 65 , 1418351683637 , 617.7221 , 184.1918
rated , e , 65 , 1418351683671 , 615.583 , 198.0602
time , e , 28 , 1418351683718 , 645.9143 , 109.9693
ben , a , 30 , 1418351683787 , 689.821 , 40.0415
and , a , 30 , 1418351683822 , 698.2415 , 34.6628
and , a , 30 , 1418351683857 , 698.1254 , 23.7052
And , A , 275 , 1418351686011 , -82.7451 , 730.1898
moneys , e , 84 , 1418351686046 , 293.4324 , 298.8468
Antonio , o , 15 , 1418351686117 , 325.2542 , 95.8208
Antonio , o , 12 , 1418351686152 , 261.4088 , 73.6051
Antonio , A , 9 , 1418351686197 , 202.4641 , 53.793
all , l , 281 , 1418351687225 , 139.6014 , 709.8753
now , o , 334 , 1418351687272 , 351.3558 , 795.3778
my , y , 254 , 1418351687319 , 355.3616 , 601.5083
misbeliever , b , 212 , 1418351687343 , 352.684 , 552.3422
misbeliever , b , 212 , 1418351687378 , 350.9157 , 525.8482
misbeliever , b , 212 , 1418351687413 , 353.817 , 512.7017
is , i , 165 , 1418351687448 , 358.3443 , 463.6758
patient , p , 134 , 1418351687529 , 684.0166 , 385.2395
patient , p , 134 , 1418351687563 , 692.5605 , 376.0019
patient , p , 134 , 1418351687597 , 696.5934 , 380.6669
patient , p , 134 , 1418351687631 , 697.1276 , 376.6631
patient , p , 134 , 1418351687676 , 690.601 , 351.4832
patient , p , 134 , 1418351687712 , 695.4371 , 354.1511
patient , p , 134 , 1418351687746 , 693.3145 , 344.597
patient , p , 134 , 1418351687780 , 694.3787 , 341.4381
patient , p , 134 , 1418351687825 , 701.0207 , 346.1764
patient , p , 134 , 1418351687859 , 700.1375 , 342.964
patient , p , 134 , 1418351687895 , 699.9188 , 344.942
patient , p , 134 , 1418351687928 , 696.7817 , 348.4315
patient , p , 134 , 1418351687973 , 697.2242 , 343.2553
patient , p , 134 , 1418351688008 , 696.6566 , 335.8539
patient , p , 134 , 1418351688043 , 694.8992 , 331.3005
patient , p , 134 , 1418351688078 , 694.1335 , 325.9935
patient , p , 134 , 1418351688112 , 693.9457 , 326.0921
patient , p , 134 , 1418351688158 , 692.8289 , 324.7593
patient , p , 134 , 1418351688192 , 693.1841 , 322.6019
patient , p , 134 , 1418351688228 , 691.1885 , 322.7192
patient , p , 134 , 1418351688262 , 690.2372 , 322.1079
patient , p , 134 , 1418351688309 , 690.5217 , 320.9073
patient , p , 134 , 1418351688350 , 690.1504 , 319.2105
patient , p , 134 , 1418351688375 , 689.6911 , 318.6728
patient , p , 134 , 1418351688410 , 688.1616 , 319.3491
patient , p , 134 , 1418351688454 , 686.725 , 320.8247
patient , p , 134 , 1418351688489 , 684.1961 , 321.3415
patient , p , 134 , 1418351688523 , 684.2856 , 321.4207
which , c , 302 , 1418351688971 , 659.6272 , 721.8341
is , s , 567 , 1418351689040 , 699.2294 , 1281.6808
Should , l , 610 , 1418351689156 , 718.6712 , 1311.4524
Should , l , 610 , 1418351689191 , 726.5505 , 1327.5955
Should , d , 611 , 1418351689226 , 752.1214 , 1338.4425
Should , d , 611 , 1418351689260 , 743.5215 , 1333.2361
stranger , n , 528 , 1418351689304 , 736.9615 , 1194.9395
and , d , 395 , 1418351689372 , 734.1418 , 858.3901
patient , t , 136 , 1418351689416 , 738.9291 , 354.7151
patient , p , 134 , 1418351689451 , 707.3191 , 313.541
patient , a , 135 , 1418351689485 , 722.511 , 312.259
patient , a , 135 , 1418351689519 , 724.3483 , 304.9269
patient , a , 135 , 1418351689586 , 724.7716 , 308.6627
patient , a , 135 , 1418351689600 , 724.9324 , 314.1078
patient , a , 135 , 1418351689635 , 727.9103 , 314.3035
patient , a , 135 , 1418351689669 , 727.6219 , 315.7306
patient , a , 135 , 1418351689713 , 728.1532 , 317.1691
patient , a , 135 , 1418351689748 , 727.4236 , 318.4972
patient , a , 135 , 1418351689783 , 726.9242 , 317.7357
patient , a , 135 , 1418351689818 , 728.9391 , 313.8192
patient , a , 135 , 1418351689854 , 727.4498 , 313.3356
patient , a , 135 , 1418351689899 , 726.5557 , 312.9606
patient , a , 135 , 1418351689934 , 726.0242 , 312.391
worse , r , 165 , 1418351689969 , 724.9921 , 311.6086
worse , r , 165 , 1418351690005 , 725.9092 , 311.8125
worse , r , 165 , 1418351690039 , 725.297 , 312.1747
worse , r , 165 , 1418351690074 , 725.668 , 313.4661
worse , r , 165 , 1418351690120 , 725.9194 , 314.5826
worse , r , 165 , 1418351690156 , 725.982 , 314.4264
worse , r , 165 , 1418351690192 , 724.6159 , 316.6008
worse , r , 165 , 1418351690227 , 724.7056 , 317.076
worse , r , 165 , 1418351690261 , 724.6317 , 317.9644
worse , r , 165 , 1418351690296 , 724.835 , 318.7466
worse , r , 165 , 1418351690358 , 724.1378 , 318.7367
worse , r , 165 , 1418351690372 , 722.7106 , 320.0832
worse , r , 165 , 1418351690417 , 722.718 , 321.3074
worse , r , 165 , 1418351690454 , 723.1162 , 320.9954
worse , r , 165 , 1418351690488 , 723.5835 , 322.1619
worse , r , 165 , 1418351690523 , 731.4624 , 323.1449
than , n , 172 , 1418351690671 , 895.0247 , 345.3159
than , n , 172 , 1418351690707 , 893.6285 , 341.4627
than , n , 172 , 1418351690756 , 892.4346 , 343.3107
you , y , 159 , 1418351690780 , 575.8745 , 342.1699
you , y , 159 , 1418351690814 , 567.8679 , 352.9584
you , y , 159 , 1418351690858 , 579.5323 , 340.4756
you , y , 159 , 1418351690893 , 576.7419 , 341.6933
you , y , 159 , 1418351690928 , 570.6583 , 341.2198
you , y , 159 , 1418351690974 , 573.1863 , 337.7849
you , y , 159 , 1418351691010 , 565.9488 , 335.3215
you , y , 159 , 1418351691301 , 568.7509 , 342.1844
you , y , 159 , 1418351691335 , 576.3152 , 342.4807
you , y , 159 , 1418351691384 , 583.1798 , 343.2829
you , o , 160 , 1418351691523 , 589.5185 , 343.4987
you , o , 160 , 1418351691773 , 595.121 , 344.2148
you , o , 160 , 1418351691825 , 600.5724 , 344.3697
you , o , 160 , 1418351691866 , 603.3005 , 344.7086
than , n , 172 , 1418351692191 , 898.5969 , 362.0784
than , n , 172 , 1418351692227 , 889.9402 , 358.7356
than , n , 172 , 1418351692262 , 881.0667 , 355.3217
than , a , 171 , 1418351692298 , 875.48 , 352.5485
than , a , 171 , 1418351692334 , 870.5741 , 349.4674
than , a , 171 , 1418351692390 , 865.2234 , 344.5624
than , a , 171 , 1418351692518 , 861.5095 , 342.3106
than , h , 170 , 1418351692553 , 851.403 , 339.7548
than , h , 170 , 1418351692599 , 841.0089 , 340.1314
than , h , 170 , 1418351692634 , 833.5368 , 338.1185
than , t , 169 , 1418351692669 , 824.8635 , 336.0843
than , t , 169 , 1418351692704 , 818.7829 , 335.1121
than , t , 169 , 1418351692749 , 813.1357 , 334.3312
than , t , 169 , 1418351692784 , 804.1068 , 334.9947
worse , e , 167 , 1418351693073 , 777.7778 , 312.8582
worse , e , 167 , 1418351693267 , 778.9876 , 314.6917
worse , e , 167 , 1418351693302 , 776.7972 , 309.0858
worse , e , 167 , 1418351693338 , 770.3558 , 313.5046
chariot , a , 120 , 1418351693372 , 762.5153 , 294.8943
worse , e , 167 , 1418351693407 , 760.8046 , 301.4518
chariot , a , 120 , 1418351693452 , 759.8293 , 293.3452
chariot , a , 120 , 1418351693486 , 765.434 , 295.0012
senseless , e , 175 , 1418351693557 , 967.5933 , 329.6546
senseless , e , 175 , 1418351693591 , 969.5284 , 324.1921
senseless , e , 175 , 1418351693636 , 968.5015 , 334.0042
senseless , e , 175 , 1418351693675 , 967.7096 , 332.7646
senseless , e , 175 , 1418351693716 , 962.7756 , 325.2405
his , h , 114 , 1418351693784 , 624.3859 , 286.2922
bonds , s , 112 , 1418351693822 , 586.776 , 292.3615
bonds , s , 112 , 1418351693859 , 576.1699 , 279.1349
bonds , s , 112 , 1418351693896 , 575.5674 , 267.5367
bonds , s , 112 , 1418351693932 , 570.8785 , 264.9495
bonds , s , 112 , 1418351693969 , 565.2773 , 261.2556
bonds , d , 111 , 1418351694006 , 560.9434 , 267.3701
bonds , d , 111 , 1418351694042 , 556.6157 , 270.9932
bonds , d , 111 , 1418351694077 , 553.3513 , 273.6421
bonds , d , 111 , 1418351694112 , 548.3907 , 271.3367
bonds , d , 111 , 1418351694147 , 545.1469 , 272.4382
bonds , d , 111 , 1418351694183 , 549.9827 , 275.2457
chariot , r , 121 , 1418351694230 , 795.0497 , 284.0363
chariot , r , 121 , 1418351694265 , 791.4603 , 259.5235
chariot , r , 121 , 1418351694300 , 786.9716 , 282.3335
chariot , r , 121 , 1418351694336 , 788.7884 , 291.4004
chariot , r , 121 , 1418351694382 , 789.1443 , 294.9372
chariot , r , 121 , 1418351694522 , 789.813 , 297.9255
than , t , 169 , 1418351694557 , 814.6569 , 302.4897
than , h , 170 , 1418351694591 , 835.9393 , 299.0563
than , h , 170 , 1418351694637 , 846.7897 , 301.4431
than , a , 171 , 1418351694671 , 857.7923 , 300.2933
than , a , 171 , 1418351694705 , 867.8669 , 300.8443
conquest , q , 28 , 1418351694741 , 644.0026 , 41.6306
than , t , 169 , 1418351696559 , 824.1495 , 371.6064
than , t , 169 , 1418351696595 , 815.9974 , 373.0502
than , t , 169 , 1418351696630 , 822.4302 , 373.715
than , t , 169 , 1418351696665 , 822.6689 , 377.6578
than , t , 169 , 1418351696701 , 825.3622 , 379.5429
Rome , R , 229 , 1418351696816 , 857.1885 , 408.1458
Rome , o , 230 , 1418351696851 , 879.4171 , 412.7769
Rome , o , 230 , 1418351696886 , 887.8608 , 415.4621
Rome , o , 230 , 1418351696931 , 889.67 , 415.5385
Rome , o , 230 , 1418351696965 , 895.1765 , 415.9624
Rome , o , 230 , 1418351697002 , 897.2637 , 412.8844
Rome , m , 231 , 1418351697037 , 901.2666 , 414.4634
battlements , t , 314 , 1418351697072 , 869.4552 , 622.7996
chimney , i , 358 , 1418351697124 , 788.0326 , 709.7278
chimney , i , 358 , 1418351697150 , 783.8563 , 709.7717
chimney , h , 357 , 1418351697185 , 766.6465 , 716.3293
chimney , h , 357 , 1418351697222 , 765.6874 , 712.0939
chimney , i , 358 , 1418351697258 , 786.2362 , 684.9089
senseless , n , 176 , 1418351697294 , 974.7106 , 371.7468
senseless , n , 176 , 1418351697329 , 979.543 , 384.6332
senseless , e , 175 , 1418351697389 , 969.5721 , 381.7384
senseless , e , 175 , 1418351697414 , 960.7194 , 383.5418
senseless , e , 175 , 1418351697449 , 951.0367 , 385.7538
of , o , 226 , 1418351697486 , 794.2249 , 414.8185
Have , H , 278 , 1418351697522 , 5.1174 , 621.0613
Have , H , 278 , 1418351697559 , -34.4926 , 617.6158
Have , H , 278 , 1418351697594 , -31.9961 , 621.9741
Have , H , 278 , 1418351697630 , -29.0243 , 625.2567
Have , H , 278 , 1418351697665 , -26.3795 , 626.3942
Have , H , 278 , 1418351697701 , -25.816 , 624.6981
Have , H , 278 , 1418351697736 , -26.8684 , 621.3797
Have , H , 278 , 1418351697782 , -24.0287 , 621.6553
Have , H , 278 , 1418351697817 , -21.3508 , 621.3901
Have , H , 278 , 1418351697852 , -24.8712 , 620.8951
Have , H , 278 , 1418351697887 , -25.2828 , 621.7869
Have , H , 278 , 1418351697922 , -25.5607 , 620.3271
walls , s , 305 , 1418351697967 , 653.0171 , 634.92
Rome , o , 230 , 1418351699585 , 889.9644 , 400.8781
Rome , o , 230 , 1418351699632 , 885.4169 , 408.1707
Rome , o , 230 , 1418351699666 , 884.6411 , 408.7109
Rome , o , 230 , 1418351699702 , 886.5518 , 404.3336
Rome , o , 230 , 1418351699737 , 897.9479 , 408.3593
Rome , m , 231 , 1418351699771 , 904.3503 , 409.7057
Rome , m , 231 , 1418351699817 , 909.6495 , 413.267
Rome , m , 231 , 1418351699852 , 915.5446 , 416.1576
Rome , m , 231 , 1418351699886 , 922.3251 , 413.9625
Rome , e , 232 , 1418351699920 , 924.7396 , 417.7084
Wherefore , f , 6 , 1418351714097 , 124.3913 , 64.3119
Wherefore , r , 4 , 1418351714132 , 80.4075 , 60.5274
Wherefore , r , 4 , 1418351714178 , 60.1066 , 56.8931
Wherefore , e , 3 , 1418351714213 , 49.3055 , 51.7833
Wherefore , e , 3 , 1418351714249 , 47.0168 , 50.8134
Wherefore , e , 3 , 1418351714284 , 44.9596 , 89.1384
Wherefore , h , 2 , 1418351714320 , 23.148 , 62.5325
Wherefore , h , 2 , 1418351714355 , 13.5276 , 56.1725
Wherefore , h , 2 , 1418351714391 , 19.5724 , 53.6131
Wherefore , e , 5 , 1418351714438 , 85.6574 , 50.1098
Wherefore , f , 6 , 1418351714472 , 123.5726 , 49.8514
rejoice , j , 13 , 1418351714508 , 291.7149 , 71.5431
rejoice , e , 12 , 1418351714543 , 254.4244 , 83.1549
rejoice , j , 13 , 1418351714578 , 286.8139 , 94.973
rejoice , i , 15 , 1418351714613 , 324.9641 , 90.5299
rejoice , i , 15 , 1418351714659 , 341.8716 , 89.349
rejoice , c , 16 , 1418351714694 , 352.319 , 83.1876
rejoice , c , 16 , 1418351714729 , 361.0057 , 79.0336
conquest , u , 29 , 1418351714765 , 676.4636 , 98.9748
conquest , o , 26 , 1418351714984 , 604.7271 , 91.6234
conquest , n , 27 , 1418351715019 , 628.9849 , 84.6204
conquest , o , 26 , 1418351715064 , 600.8738 , 87.1276
To , T , 88 , 1418351715132 , -8.5105 , 234.794
To , T , 88 , 1418351715168 , -3.8806 , 252.1082
To , T , 88 , 1418351715213 , -1.8965 , 257.9463
To , T , 88 , 1418351715249 , -2.8067 , 253.7044
To , T , 88 , 1418351715284 , -3.2085 , 257.7346
To , T , 88 , 1418351715319 , -7.1051 , 260.7295
follow , f , 68 , 1418351715355 , 408.2272 , 186.0692
follow , l , 71 , 1418351715389 , 470.0098 , 167.5956
follow , l , 71 , 1418351715434 , 474.5127 , 169.6849
follow , l , 71 , 1418351715469 , 473.0467 , 172.9411
follow , l , 71 , 1418351715502 , 475.4326 , 176.3594
him , h , 75 , 1418351715537 , 573.7147 , 181.4989
wheels , e , 128 , 1418351715582 , 969.6693 , 208.8006
his , i , 115 , 1418351715838 , 655.585 , 208.3964
captive , p , 102 , 1418351715872 , 327.1577 , 262.6592
captive , a , 101 , 1418351715907 , 315.1062 , 252.8738
captive , a , 101 , 1418351715952 , 307.8293 , 258.1417
captive , a , 101 , 1418351715986 , 309.5988 , 262.124
captive , a , 101 , 1418351716021 , 304.0033 , 259.4473
captive , a , 101 , 1418351716055 , 306.8831 , 269.9685
captive , a , 101 , 1418351716101 , 307.1574 , 287.603
captive , a , 101 , 1418351716135 , 318.8833 , 279.2755
captive , a , 101 , 1418351716170 , 311.5623 , 275.009
captive , a , 101 , 1418351716204 , 314.7103 , 275.5771
captive , a , 101 , 1418351716250 , 315.959 , 271.0533
captive , a , 101 , 1418351716286 , 316.0857 , 275.5298
captive , a , 101 , 1418351716319 , 313.2594 , 277.5881
captive , a , 101 , 1418351716365 , 309.1381 , 279.1803
captive , a , 101 , 1418351716505 , 307.2056 , 280.4573
follow , o , 72 , 1418351716541 , 509.3594 , 194.5018
follow , w , 73 , 1418351716656 , 532.8123 , 177.4497
follow , w , 73 , 1418351716692 , 532.3553 , 182.0084
follow , w , 73 , 1418351716728 , 530.8544 , 176.7815
follow , w , 73 , 1418351716765 , 533.9143 , 169.554
follow , w , 73 , 1418351716801 , 534.5369 , 172.0554
follow , w , 73 , 1418351716837 , 533.545 , 171.4584
follow , w , 73 , 1418351716873 , 533.302 , 170.817
follow , w , 73 , 1418351716910 , 530.6994 , 171.5569
you , y , 159 , 1418351716945 , 565.6888 , 329.2733
cruèl , r , 217 , 1418351716991 , 571.8292 , 433.7679
cruèl , r , 217 , 1418351717026 , 569.9185 , 432.6372
cruèl , c , 216 , 1418351717062 , 561.7659 , 434.6172
cruèl , c , 216 , 1418351717097 , 558.9984 , 434.9697
cruèl , c , 216 , 1418351717132 , 563.3733 , 428.7997
cruèl , r , 217 , 1418351717177 , 566.1365 , 428.5361
cruèl , r , 217 , 1418351717212 , 565.616 , 430.1107
cruèl , r , 217 , 1418351717247 , 566.0037 , 427.6646
cruèl , r , 217 , 1418351717282 , 574.3648 , 429.769
cruèl , r , 217 , 1418351717317 , 582.3383 , 433.1511
cruèl , u , 218 , 1418351717362 , 588.5132 , 435.7982
cruèl , u , 218 , 1418351717501 , 594.3344 , 438.2727
cruèl , u , 218 , 1418351717537 , 596.9768 , 439.8994
cruèl , u , 218 , 1418351717582 , 601.5943 , 440.9742
cruèl , u , 218 , 1418351717618 , 604.6392 , 441.3159
cruèl , u , 218 , 1418351717653 , 607.3304 , 442.8375
cruèl , u , 218 , 1418351717689 , 610.3238 , 444.7841
cruèl , è , 219 , 1418351717724 , 612.4901 , 445.8751
cruèl , è , 219 , 1418351717758 , 614.8159 , 448.0558
cruèl , è , 219 , 1418351717803 , 618.3982 , 450.6736
cruèl , è , 219 , 1418351717839 , 621.9077 , 450.7021
cruèl , è , 219 , 1418351717874 , 623.584 , 452.1217
cruèl , è , 219 , 1418351717909 , 624.9054 , 453.1866
cruèl , è , 219 , 1418351717943 , 626.665 , 453.2969
cruèl , è , 219 , 1418351717989 , 626.9023 , 452.7652
cruèl , è , 219 , 1418351718024 , 628.9785 , 453.3674
cruèl , è , 219 , 1418351718060 , 628.9291 , 454.0751
cruèl , è , 219 , 1418351718095 , 628.8709 , 455.0357
cruèl , è , 219 , 1418351718130 , 628.6616 , 456.2452
cruèl , è , 219 , 1418351718165 , 628.3571 , 457.198
cruèl , è , 219 , 1418351718210 , 628.8734 , 458.685
cruèl , è , 219 , 1418351718245 , 628.2253 , 460.5058
cruèl , è , 219 , 1418351718280 , 628.5032 , 461.6059
cruèl , è , 219 , 1418351718315 , 628.7414 , 461.7712
cruèl , è , 219 , 1418351718359 , 628.6175 , 462.4221
cruèl , è , 219 , 1418351718500 , 628.5725 , 462.4902
cruèl , è , 219 , 1418351718535 , 628.7159 , 464.6468
cruèl , è , 219 , 1418351718580 , 629.5875 , 466.0742
cruèl , è , 219 , 1418351718615 , 629.1231 , 466.8616
cruèl , è , 219 , 1418351718650 , 627.9797 , 468.3884
cruèl , è , 219 , 1418351718685 , 628.5963 , 469.4358
cruèl , è , 219 , 1418351718730 , 627.702 , 470.3311
cruèl , è , 219 , 1418351718771 , 626.8051 , 470.6244
cruèl , è , 219 , 1418351718805 , 627.2917 , 472.1468
cruèl , è , 219 , 1418351718840 , 627.1298 , 472.0117
cruèl , è , 219 , 1418351718875 , 626.709 , 471.5418
cruèl , è , 219 , 1418351718910 , 625.8417 , 471.5316
cruèl , è , 219 , 1418351718946 , 625.9814 , 470.8718
cruèl , è , 219 , 1418351718981 , 625.9785 , 469.9727
cruèl , è , 219 , 1418351719026 , 625.7534 , 469.3732
cruèl , è , 219 , 1418351719061 , 624.9344 , 469.1476
cruèl , è , 219 , 1418351719097 , 625.7932 , 469.351
cruèl , è , 219 , 1418351719131 , 625.6124 , 468.2073
cruèl , è , 219 , 1418351719166 , 624.3181 , 466.8858
cruèl , è , 219 , 1418351719211 , 623.0435 , 467.2872
cruèl , è , 219 , 1418351719246 , 622.7847 , 466.4999
cruèl , è , 219 , 1418351719281 , 622.387 , 466.189
cruèl , è , 219 , 1418351719317 , 622.5092 , 465.712
cruèl , è , 219 , 1418351719358 , 615.0706 , 463.4543
cruèl , u , 218 , 1418351719392 , 609.079 , 461.6367
cruèl , u , 218 , 1418351719428 , 603.8922 , 458.6282
cruèl , u , 218 , 1418351719464 , 597.1439 , 457.3637
cruèl , u , 218 , 1418351719499 , 591.4045 , 455.3484
cruèl , r , 217 , 1418351719534 , 585.5094 , 453.6623
cruèl , r , 217 , 1418351719581 , 580.1389 , 451.5261
