be , e , 6 , 1418700567288 , 121.2729 , 110.3455
troubles , r , 167 , 1418700571136 , 826.5084 , 342.2345
troubles , o , 168 , 1418700571181 , 838.5905 , 346.787
troubles , o , 168 , 1418700571216 , 848.2559 , 345.7765
troubles , u , 169 , 1418700571251 , 858.8137 , 346.9303
troubles , u , 169 , 1418700571287 , 869.2737 , 345.9937
troubles , u , 169 , 1418700571321 , 859.8582 , 347.851
them , h , 199 , 1418700571367 , 521.9736 , 409.9922
them , t , 198 , 1418700571402 , 494.7131 , 409.3949
end , n , 195 , 1418700571550 , 436.6127 , 407.5302
And , d , 179 , 1418700571621 , 54.4236 , 391.2736
And , d , 179 , 1418700571807 , 59.2949 , 394.0467
And , d , 179 , 1418700571842 , 59.6654 , 395.2576
And , d , 179 , 1418700571886 , 58.6631 , 398.2262
And , d , 179 , 1418700571921 , 58.9777 , 404.5672
by , b , 181 , 1418700571990 , 96.8624 , 410.437
by , y , 182 , 1418700572026 , 108.5067 , 415.4163
by , y , 182 , 1418700572072 , 116.8568 , 417.6898
by , y , 182 , 1418700572106 , 129.2324 , 422.5825
them , e , 200 , 1418700572141 , 544.5922 , 449.9924
them , e , 200 , 1418700572177 , 554.8999 , 427.5986
them , e , 200 , 1418700572211 , 558.8606 , 411.0991
them , e , 200 , 1418700572256 , 556.3871 , 408.7123
them , e , 200 , 1418700572291 , 558.7134 , 407.0939
them , e , 200 , 1418700572326 , 559.0925 , 408.0796
them , e , 200 , 1418700572360 , 553.436 , 419.9207
them , e , 200 , 1418700572396 , 554.0991 , 424.4923
them , m , 201 , 1418700572441 , 569.8438 , 422.9459
die , i , 208 , 1418700572476 , 744.6165 , 393.609
die , d , 207 , 1418700572510 , 724.3962 , 437.4642
die , d , 207 , 1418700572545 , 723.2358 , 457.2549
die , d , 207 , 1418700572580 , 722.1323 , 450.3018
die , d , 207 , 1418700572625 , 718.5169 , 439.135
die , e , 209 , 1418700572659 , 762.8129 , 438.1258
sleep , l , 216 , 1418700572694 , 946.0399 , 436.8495
sleep , s , 215 , 1418700572728 , 912.0347 , 452.4023
sleep , s , 215 , 1418700572774 , 900.9518 , 440.2088
sleep , s , 215 , 1418700572808 , 901.488 , 434.2787
sleep , s , 215 , 1418700572843 , 906.8522 , 436.3577
sleep , s , 215 , 1418700572878 , 903.5138 , 438.7591
sleep , s , 215 , 1418700572913 , 904.3539 , 437.1688
sleep , s , 215 , 1418700572959 , 905.0468 , 434.5388
sleep , s , 215 , 1418700572994 , 903.0972 , 435.4647
and , n , 233 , 1418700573030 , 231.0536 , 509.271
more , m , 226 , 1418700573064 , 78.6909 , 520.5013
more , m , 226 , 1418700573099 , 79.5265 , 500.1245
more , m , 226 , 1418700573134 , 79.2572 , 512.4183
more , m , 226 , 1418700573179 , 72.5892 , 518.246
more , m , 226 , 1418700573215 , 68.4403 , 522.5424
more , m , 226 , 1418700573250 , 66.8113 , 520.631
more , m , 226 , 1418700573328 , 76.1395 , 531.0165
more , m , 226 , 1418700573362 , 64.1331 , 537.3347
more , r , 228 , 1418700573396 , 126.0669 , 534.2458
and , a , 232 , 1418700573478 , 204.0302 , 522.6855
by , y , 237 , 1418700573513 , 325.2263 , 508.1953
by , b , 236 , 1418700573548 , 316.8176 , 496.0306
by , y , 237 , 1418700573582 , 337.2994 , 511.4631
by , y , 237 , 1418700573617 , 324.6172 , 513.3781
by , b , 236 , 1418700573662 , 319.7113 , 515.9445
by , b , 236 , 1418700573696 , 323.2495 , 511.4333
sleep , e , 243 , 1418700573731 , 489.0886 , 559.1078
to , t , 248 , 1418700573985 , 592.847 , 512.5603
to , t , 248 , 1418700574031 , 609.1826 , 514.1904
to , o , 249 , 1418700574066 , 624.7368 , 513.3873
to , o , 249 , 1418700574101 , 634.5984 , 514.2225
end , e , 258 , 1418700574216 , 828.355 , 506.8869
to , t , 212 , 1418700574320 , 830.2518 , 467.1809
to , t , 212 , 1418700574365 , 829.3226 , 473.1719
to , t , 212 , 1418700574401 , 833.8318 , 474.9097
to , t , 212 , 1418700574435 , 828.1657 , 477.2654
sleep , l , 242 , 1418700574470 , 458.4443 , 563.4302
more , m , 226 , 1418700574803 , 61.7734 , 548.6259
more , o , 227 , 1418700574837 , 101.6758 , 547.9473
sleep , p , 245 , 1418700574987 , 527.2125 , 565.0567
sleep , p , 245 , 1418700575032 , 533.6395 , 564.015
the , e , 285 , 1418700575067 , 532.3723 , 576.328
sleep , p , 245 , 1418700575102 , 516.8095 , 569.1226
sleep , e , 244 , 1418700575137 , 511.3539 , 568.935
sleep , e , 244 , 1418700575172 , 506.9607 , 571.6348
sleep , e , 244 , 1418700575207 , 503.017 , 565.784
Natural , u , 299 , 1418700575287 , 852.3412 , 587.4824
Natural , u , 299 , 1418700575322 , 859.2482 , 586.8372
end , n , 259 , 1418700575358 , 867.8494 , 574.7941
Natural , u , 299 , 1418700575392 , 870.5775 , 578.5414
Natural , r , 300 , 1418700575438 , 888.1878 , 576.6171
shocks , c , 307 , 1418700575472 , 1050.2095 , 593.4656
shocks , o , 306 , 1418700575506 , 1041.9714 , 583.5618
shocks , o , 306 , 1418700575540 , 1031.9548 , 575.2235
shocks , o , 306 , 1418700575586 , 1024.0593 , 577.8474
shocks , h , 305 , 1418700575620 , 1019.1984 , 586.314
shocks , o , 306 , 1418700575656 , 1022.6696 , 590.8435
shocks , o , 306 , 1418700575690 , 1023.7837 , 593.8403
shocks , o , 306 , 1418700575735 , 1026.0101 , 595.9835
shocks , o , 306 , 1418700575771 , 1023.2512 , 593.777
The , h , 264 , 1418700575842 , 26.2303 , 633.8591
That , h , 313 , 1418700575876 , 32.9445 , 674.0213
That , h , 313 , 1418700575911 , 29.964 , 670.6129
That , h , 313 , 1418700575956 , 28.664 , 673.05
That , h , 313 , 1418700575991 , 29.7629 , 685.2246
That , h , 313 , 1418700576026 , 30.9888 , 672.3124
That , T , 312 , 1418700576060 , -2.1629 , 707.3679
The , T , 263 , 1418700576096 , 10.3313 , 659.2722
The , T , 263 , 1418700576142 , 10.0158 , 651.4255
That , a , 314 , 1418700576177 , 36.9282 , 673.0132
Heart , H , 267 , 1418700576212 , 91.0603 , 664.8522
ache , h , 275 , 1418700576245 , 299.4698 , 618.1964
ache , h , 275 , 1418700576326 , 291.8376 , 661.0689
ache , h , 275 , 1418700576361 , 287.7092 , 664.4334
is , s , 324 , 1418700576396 , 289.4128 , 671.6149
is , s , 324 , 1418700576431 , 295.3419 , 667.2429
ache , h , 275 , 1418700576466 , 298.4418 , 653.7663
ache , h , 275 , 1418700576510 , 297.5151 , 660.8321
ache , h , 275 , 1418700576544 , 288.9061 , 665.434
ache , h , 275 , 1418700576588 , 287.347 , 665.9741
ache , h , 275 , 1418700576622 , 285.351 , 664.7335
ache , h , 275 , 1418700576658 , 287.2048 , 666.5008
ache , h , 275 , 1418700576693 , 285.4709 , 662.0182
ache , h , 275 , 1418700576729 , 294.7456 , 666.4473
thousand , a , 292 , 1418700576764 , 702.3455 , 633.3271
thousand , n , 293 , 1418700576810 , 730.9491 , 662.4396
thousand , a , 292 , 1418700576880 , 704.5511 , 662.6666
thousand , a , 292 , 1418700576915 , 702.0452 , 666.1332
a , a , 340 , 1418700576950 , 679.7415 , 668.8989
a , a , 340 , 1418700576985 , 664.0837 , 670.6137
thousand , u , 290 , 1418700577020 , 654.8986 , 664.6409
thousand , u , 290 , 1418700577065 , 648.5974 , 665.8391
thousand , u , 290 , 1418700577099 , 644.3234 , 663.9389
thousand , u , 290 , 1418700577133 , 653.1597 , 661.2496
consummation , u , 346 , 1418700577179 , 822.5623 , 685.5382
Natural , u , 299 , 1418700577214 , 852.0679 , 660.8087
consummation , m , 347 , 1418700577249 , 846.1115 , 667.3863
consummation , m , 347 , 1418700577284 , 842.5186 , 672.3151
consummation , m , 347 , 1418700577319 , 844.2474 , 677.6198
consummation , m , 347 , 1418700577354 , 846.9418 , 675.9613
consummation , m , 347 , 1418700577399 , 848.3132 , 675.4995
consummation , m , 347 , 1418700577434 , 850.6882 , 676.6318
Flesh , h , 321 , 1418700577467 , 209.6335 , 744.7635
Devoutly , e , 357 , 1418700577502 , 20.5544 , 793.1637
Devoutly , D , 356 , 1418700577547 , 7.1382 , 801.5208
Devoutly , D , 356 , 1418700577582 , 8.7759 , 788.2825
Devoutly , D , 356 , 1418700577616 , 3.7393 , 792.5718
Devoutly , D , 356 , 1418700577651 , -1.5356 , 790.4929
Devoutly , e , 357 , 1418700577698 , 17.5435 , 804.3282
Devoutly , D , 356 , 1418700577733 , 4.5794 , 803.0055
Devoutly , e , 357 , 1418700577767 , 13.5004 , 775.5227
Devoutly , e , 357 , 1418700577801 , 24.628 , 777.7847
Devoutly , D , 356 , 1418700577837 , 8.3357 , 795.6489
Devoutly , o , 359 , 1418700577872 , 67.7802 , 795.1337
to , t , 365 , 1418700577918 , 220.1253 , 806.8087
to , o , 366 , 1418700577987 , 248.9952 , 804.2705
to , o , 366 , 1418700578102 , 240.5834 , 817.173
to , t , 365 , 1418700578137 , 225.9691 , 821.1537
to , t , 365 , 1418700578171 , 220.9835 , 827.5219
to , t , 365 , 1418700578215 , 216.5746 , 832.5214
wished , i , 372 , 1418700578251 , 394.9043 , 795.7827
To , T , 379 , 1418700578433 , 541.058 , 777.9501
To , T , 379 , 1418700578468 , 547.8184 , 777.8479
To , T , 379 , 1418700578503 , 550.8608 , 787.4904
To , T , 379 , 1418700578538 , 549.194 , 784.8342
to , t , 387 , 1418700578584 , 737.8618 , 790.7107
consummation , n , 344 , 1418700578619 , 778.1056 , 739.8556
consummation , n , 344 , 1418700578654 , 759.0715 , 730.6974
consummation , n , 344 , 1418700578689 , 758.4501 , 734.2704
consummation , n , 344 , 1418700578723 , 765.1561 , 741.5057
consummation , n , 344 , 1418700578769 , 768.5026 , 739.9984
consummation , n , 344 , 1418700578805 , 771.5304 , 743.4313
consummation , n , 344 , 1418700578840 , 775.0122 , 743.1594
consummation , n , 344 , 1418700578875 , 776.2701 , 746.5382
consummation , s , 345 , 1418700578910 , 788.1816 , 742.3176
consummation , s , 345 , 1418700578957 , 802.1197 , 743.4041
consummation , u , 346 , 1418700578992 , 812.2109 , 742.7173
consummation , u , 346 , 1418700579027 , 821.9252 , 747.7176
consummation , m , 347 , 1418700579062 , 830.2343 , 747.729
consummation , m , 347 , 1418700579097 , 837.2622 , 746.4833
consummation , m , 347 , 1418700579131 , 840.9272 , 748.3647
consummation , m , 347 , 1418700579177 , 845.4969 , 749.2346
consummation , m , 347 , 1418700579212 , 851.2081 , 754.9677
Natural , N , 296 , 1418700579878 , 803.6404 , 608.8313
Natural , N , 296 , 1418700579913 , 794.8155 , 605.524
Natural , N , 296 , 1418700579947 , 788.47 , 609.8665

NEXT TEST :2

