sleep , p , 219 , 1418166494362 , 1010.3663 , 396.9738
by , y , 237 , 1418166497102 , 325.1756 , 518.6661
sleep , l , 216 , 1418166497621 , 936.4539 , 404.0357
Arms , m , 146 , 1418166497658 , 315.7035 , 307.0828
Arms , r , 145 , 1418166497694 , 285.0906 , 309.4913
Arms , r , 145 , 1418166497729 , 276.3601 , 309.3797
Arms , A , 144 , 1418166497764 , 267.9865 , 313.2588
Arms , A , 144 , 1418166497810 , 256.097 , 316.4988
take , e , 142 , 1418166497881 , 214.4371 , 335.7762
Arms , A , 144 , 1418166497916 , 255.8025 , 329.2398
Arms , r , 145 , 1418166497951 , 286.8262 , 315.4657
Arms , m , 146 , 1418166497986 , 303.0624 , 310.1989
Arms , m , 146 , 1418166498021 , 315.012 , 308.9251
Arms , m , 146 , 1418166498066 , 317.5151 , 311.9702
Arms , m , 146 , 1418166498100 , 322.0834 , 312.2867
Arms , m , 146 , 1418166498136 , 323.2776 , 315.6258
Arms , s , 147 , 1418166498171 , 327.0438 , 316.8307
Arms , s , 147 , 1418166498205 , 329.3043 , 318.7812
Arms , s , 147 , 1418166498250 , 330.2942 , 322.5761
Arms , s , 147 , 1418166498286 , 333.3343 , 321.8261
Arms , s , 147 , 1418166498321 , 334.0303 , 320.7915
Arms , s , 147 , 1418166498357 , 333.7983 , 321.5913
Arms , s , 147 , 1418166498391 , 335.2806 , 323.1839
Arms , s , 147 , 1418166498436 , 334.9888 , 324.7694
Arms , s , 147 , 1418166498472 , 334.4776 , 324.2138
Arms , s , 147 , 1418166498507 , 335.0834 , 324.907
Arms , s , 147 , 1418166498542 , 337.403 , 326.1232
Arms , s , 147 , 1418166498614 , 340.0022 , 329.5455
Arms , s , 147 , 1418166498588 , 338.0314 , 328.569
Arms , s , 147 , 1418166498651 , 340.5029 , 329.9831
Arms , s , 147 , 1418166498697 , 343.2361 , 329.0894
Arms , s , 147 , 1418166498732 , 343.748 , 330.4846
Arms , s , 147 , 1418166498768 , 345.2977 , 330.0096
Arms , s , 147 , 1418166498803 , 347.6053 , 330.4749
Arms , s , 147 , 1418166498837 , 347.7855 , 331.5063
against , a , 149 , 1418166499393 , 372.336 , 351.1447
against , a , 149 , 1418166499427 , 374.569 , 351.756
against , a , 149 , 1418166499473 , 375.932 , 353.3621
against , a , 149 , 1418166499508 , 377.0358 , 353.8461
against , a , 149 , 1418166499543 , 379.0844 , 355.7707
against , a , 149 , 1418166499578 , 380.4641 , 357.1844
against , a , 149 , 1418166499614 , 382.348 , 358.3237
against , a , 149 , 1418166499650 , 382.0659 , 359.8618
against , a , 149 , 1418166499697 , 383.7793 , 360.0532
against , a , 149 , 1418166499735 , 383.5492 , 361.95
against , a , 149 , 1418166499771 , 383.542 , 363.357
against , a , 149 , 1418166499807 , 383.861 , 365.4271
against , a , 149 , 1418166499843 , 385.3352 , 367.6163
against , a , 149 , 1418166499879 , 388.0675 , 368.8834
against , a , 149 , 1418166499915 , 389.5083 , 370.1159
against , a , 149 , 1418166499949 , 392.9993 , 372.1159
against , a , 149 , 1418166499985 , 394.9962 , 374.8624
against , g , 150 , 1418166500020 , 396.5653 , 377.1037
against , g , 150 , 1418166500065 , 398.0112 , 378.0171
against , g , 150 , 1418166500101 , 398.7067 , 379.3279
against , g , 150 , 1418166500137 , 400.7221 , 380.2348
against , g , 150 , 1418166500171 , 401.9214 , 380.78
against , g , 150 , 1418166500207 , 401.8531 , 383.0635
against , g , 150 , 1418166500243 , 400.7809 , 384.9345
Whether , e , 49 , 1418166500289 , 108.8492 , 192.3062
tis , s , 55 , 1418166500325 , 264.1476 , 194.7641
tis , s , 55 , 1418166500362 , 260.2205 , 179.2605
tis , s , 55 , 1418166500397 , 255.2094 , 178.3685
tis , i , 54 , 1418166500433 , 251.8787 , 180.5591
tis , s , 55 , 1418166500468 , 255.0284 , 171.4353
tis , i , 54 , 1418166500504 , 236.947 , 171.566
tis , t , 53 , 1418166500540 , 226.0754 , 171.9856
tis , t , 53 , 1418166500575 , 220.517 , 172.9126
tis , t , 53 , 1418166500623 , 214.3208 , 171.9424
tis , t , 53 , 1418166500658 , 209.6558 , 170.1482
tis , t , 53 , 1418166500694 , 218.2148 , 171.8059
of , o , 109 , 1418166500801 , 518.6931 , 243.936
of , o , 109 , 1418166500836 , 530.2384 , 245.5051
of , o , 109 , 1418166500872 , 539.7052 , 247.7297
of , o , 109 , 1418166500918 , 539.0249 , 247.2905
Nobler , N , 57 , 1418166501024 , 301.4361 , 182.8412
Nobler , N , 57 , 1418166501058 , 304.2776 , 185.6895
Nobler , e , 61 , 1418166501094 , 402.7908 , 186.5455
mind , i , 72 , 1418166501175 , 667.988 , 184.8292
mind , i , 72 , 1418166501210 , 675.5853 , 190.7071
mind , i , 72 , 1418166501246 , 672.6176 , 197.5822
outrageous , r , 115 , 1418166501282 , 663.1822 , 213.7756
outrageous , u , 113 , 1418166501318 , 634.9902 , 225.1857
outrageous , u , 113 , 1418166501353 , 618.9457 , 230.7103
outrageous , o , 112 , 1418166501388 , 608.6895 , 234.7908
outrageous , o , 112 , 1418166501435 , 601.0955 , 235.4485
outrageous , o , 112 , 1418166501471 , 597.5799 , 236.8195
troubles , l , 171 , 1418166501506 , 911.2245 , 323.4013
of , f , 164 , 1418166501542 , 735.0219 , 341.4566
a , a , 157 , 1418166501579 , 569.6815 , 322.9136
against , i , 152 , 1418166501614 , 459.0514 , 322.2065
against , g , 150 , 1418166501649 , 407.235 , 319.7984
against , a , 149 , 1418166501685 , 375.086 , 321.6276
against , n , 153 , 1418166501729 , 472.9588 , 306.2287
troubles , e , 172 , 1418166501764 , 936.4996 , 335.3187
troubles , l , 171 , 1418166501801 , 922.0004 , 334.6725
troubles , l , 171 , 1418166501837 , 921.9632 , 334.6282
troubles , l , 171 , 1418166501873 , 918.0402 , 337.9048
troubles , u , 169 , 1418166501908 , 862.4041 , 339.0986
Sea , e , 160 , 1418166502095 , 658.7933 , 369.3186
of , o , 163 , 1418166502131 , 715.2772 , 365.2313
troubles , e , 172 , 1418166502165 , 937.3124 , 336.3248
troubles , s , 173 , 1418166502211 , 957.7349 , 328.4461
troubles , s , 173 , 1418166502247 , 963.3807 , 330.4375
troubles , s , 173 , 1418166502282 , 956.674 , 321.3543
troubles , s , 173 , 1418166502317 , 955.3339 , 328.2765
troubles , s , 173 , 1418166502353 , 956.3118 , 326.6072
of , f , 164 , 1418166502388 , 738.3743 , 369.2164
of , f , 164 , 1418166502435 , 735.1042 , 365.7461
of , o , 163 , 1418166502470 , 730.2065 , 367.1689
of , o , 163 , 1418166502506 , 728.8705 , 379.2585
Sea , a , 161 , 1418166502542 , 681.4714 , 382.8312
Sea , S , 159 , 1418166502577 , 624.0599 , 378.901
end , e , 194 , 1418166502613 , 412.2661 , 407.571
against , a , 149 , 1418166502649 , 390.4243 , 382.548
against , g , 150 , 1418166502684 , 399.2144 , 384.7609
against , a , 149 , 1418166502731 , 394.38 , 384.5693
against , a , 149 , 1418166502766 , 394.316 , 379.7243
against , g , 150 , 1418166502802 , 398.5054 , 375.9725
against , g , 150 , 1418166502836 , 396.9338 , 378.0402
against , a , 149 , 1418166502873 , 394.4052 , 376.0532
troubles , t , 166 , 1418166502944 , 792.983 , 381.4163
die , e , 209 , 1418166502990 , 771.9536 , 391.1687
die , e , 209 , 1418166503025 , 766.0684 , 391.9749
die , i , 208 , 1418166503095 , 755.7305 , 392.4383
die , i , 208 , 1418166503130 , 754.7135 , 392.6549
die , i , 208 , 1418166503165 , 754.1293 , 391.5185
Nobler , e , 61 , 1418166504062 , 413.5661 , 144.6313
Nobler , l , 60 , 1418166504098 , 394.8494 , 163.8722
Nobler , l , 60 , 1418166504134 , 389.3265 , 161.5431
Nobler , l , 60 , 1418166504170 , 393.9517 , 158.7461
Nobler , e , 61 , 1418166504206 , 397.6703 , 162.8802
Nobler , e , 61 , 1418166504242 , 402.5025 , 141.0739
Nobler , e , 61 , 1418166504278 , 401.9919 , 130.0423
Nobler , l , 60 , 1418166504314 , 382.1924 , 151.0581
Nobler , l , 60 , 1418166504360 , 379.921 , 159.016
Nobler , l , 60 , 1418166504396 , 383.286 , 157.5864
Nobler , e , 61 , 1418166504432 , 407.9159 , 159.5013
Nobler , r , 62 , 1418166504468 , 423.0027 , 162.62
Nobler , r , 62 , 1418166504504 , 430.8668 , 169.5558
Nobler , r , 62 , 1418166504541 , 437.5675 , 173.0656
outrageous , r , 115 , 1418166504837 , 665.0278 , 273.9315
outrageous , t , 114 , 1418166504873 , 650.5152 , 265.537
outrageous , t , 114 , 1418166504908 , 654.4153 , 270.2172
outrageous , t , 114 , 1418166504944 , 648.3443 , 279.7946
outrageous , t , 114 , 1418166504980 , 645.2846 , 276.2391
Arrows , o , 105 , 1418166505061 , 421.7662 , 292.8219
Arrows , r , 104 , 1418166505098 , 402.1222 , 282.8974
Arrows , r , 104 , 1418166505134 , 397.587 , 283.4101
Arrows , r , 103 , 1418166505170 , 390.6025 , 276.7902
Arrows , r , 103 , 1418166505206 , 391.7355 , 270.4358
Arrows , r , 103 , 1418166505241 , 386.8283 , 274.4491
outrageous , t , 114 , 1418166505277 , 645.8209 , 290.1665
outrageous , u , 113 , 1418166505322 , 631.142 , 291.0887
outrageous , u , 113 , 1418166505358 , 631.1501 , 297.8152
outrageous , t , 114 , 1418166505394 , 640.2449 , 295.3157
outrageous , u , 113 , 1418166505428 , 635.0282 , 296.5547
outrageous , t , 114 , 1418166505464 , 636.8055 , 293.3926
outrageous , t , 114 , 1418166505499 , 656.1106 , 290.467
outrageous , r , 115 , 1418166505535 , 672.1268 , 296.7347
outrageous , r , 115 , 1418166505581 , 683.4343 , 296.3917
outrageous , a , 116 , 1418166505617 , 692.1369 , 296.448
Fortune , e , 129 , 1418166505795 , 1015.3553 , 281.0515
Fortune , t , 126 , 1418166505841 , 929.7446 , 275.7743
a , a , 157 , 1418166505876 , 577.2463 , 300.2462
outrageous , o , 112 , 1418166505912 , 588.654 , 269.0115
troubles , t , 166 , 1418166506095 , 798.7882 , 314.0695
of , o , 163 , 1418166506130 , 728.9585 , 305.7247
outrageous , e , 118 , 1418166506167 , 738.9159 , 294.88
outrageous , e , 118 , 1418166506202 , 732.4449 , 298.0397
troubles , t , 166 , 1418166506238 , 788.4695 , 303.8019
troubles , u , 169 , 1418166506284 , 874.2507 , 305.9094
Fortune , u , 127 , 1418166506507 , 958.592 , 213.4141
Nobler , o , 58 , 1418166506578 , 329.063 , 177.2667
in , i , 64 , 1418166506614 , 484.893 , 157.2545
not , t , 14 , 1418166506650 , 323.4121 , 91.4811
not , o , 13 , 1418166506686 , 293.5536 , 25.4231
Whether , h , 45 , 1418166506829 , 16.1326 , 115.7173
Or , O , 133 , 1418166506876 , -29.2512 , 316.0352
Or , O , 133 , 1418166506911 , -21.1785 , 382.617
No , N , 223 , 1418166506946 , -101.2144 , 485.6423
Natural , t , 298 , 1418166506981 , 828.0038 , 586.1545
against , s , 154 , 1418166507017 , 497.6083 , 344.8349
thousand , a , 292 , 1418166507052 , 703.9329 , 609.7946
there , r , 436 , 1418166507098 , 909.5217 , 911.8718
a , a , 340 , 1418166507133 , 677.079 , 729.4202
to , o , 332 , 1418166507169 , 471.3848 , 739.8662
more , r , 228 , 1418166507204 , 111.3474 , 487.1491
That , T , 312 , 1418166507240 , -42.4173 , 703.6211
No , N , 223 , 1418166507275 , -257.9694 , 515.8957
Or , O , 133 , 1418166507310 , -138.3924 , 301.7345
Whether , W , 44 , 1418166507390 , -475.4344 , 142.6451
Whether , W , 44 , 1418166507461 , -166.797 , 138.3207
Whether , W , 44 , 1418166507496 , -132.3989 , 140.4144
The , T , 87 , 1418166507543 , -285.5503 , 260.7799
Or , O , 133 , 1418166507577 , -233.2575 , 378.6347
When , W , 502 , 1418166507614 , -75.0951 , 1039.3889
When , W , 857 , 1418166507872 , -1301.0818 , 1840.4954
That , T , 814 , 1418166507907 , -899.897 , 1744.707
For , F , 626 , 1418166507942 , -755.3694 , 1348.2102
When , W , 502 , 1418166507977 , -662.8273 , 1099.087
That , t , 591 , 1418166508023 , 82.3383 , 1235.3058
For , r , 453 , 1418166508058 , 37.2952 , 1017.5468
is , i , 26 , 1418166508095 , 593.584 , 106.1156
Devoutly , D , 356 , 1418166508533 , -467.5279 , 815.714
To , T , 398 , 1418166508579 , -480.8995 , 874.0688
To , T , 398 , 1418166508614 , -475.7956 , 926.7093
That , T , 588 , 1418166508649 , -602.4113 , 1232.6711
For , F , 626 , 1418166508684 , -679.6057 , 1385.5662
For , F , 626 , 1418166508720 , -735.9826 , 1362.2849
That , T , 588 , 1418166508755 , -749.0817 , 1221.3224
Must , M , 547 , 1418166508791 , -631.8016 , 1140.7936
The , T , 676 , 1418166508837 , -628.354 , 1436.9934
That , T , 588 , 1418166508872 , -629.4998 , 1269.6246
The , T , 676 , 1418166508907 , -695.8314 , 1424.3038
That , T , 814 , 1418166508943 , -775.9406 , 1686.4899
Be , B , 1517 , 1418166508978 , -1198.672 , 3154.0508
Is , I , 1290 , 1418166509014 , -1063.8099 , 2743.4443
When , W , 857 , 1418166511389 , -1283.4633 , 1805.5123
The , T , 676 , 1418166511424 , -1158.0914 , 1478.7019
For , F , 626 , 1418166511458 , -1007.4712 , 1331.6025
That , T , 588 , 1418166511493 , -974.4932 , 1244.6012
That , T , 588 , 1418166511539 , -985.9824 , 1298.7565
For , F , 626 , 1418166511574 , -1016.8198 , 1333.4355
To , T , 398 , 1418166511609 , -781.6252 , 910.3857
For , F , 451 , 1418166511643 , -841.3138 , 990.2554
For , F , 451 , 1418166511678 , -837.64 , 945.1761
When , W , 502 , 1418166511725 , -860.788 , 1035.9092
Must , M , 547 , 1418166511761 , -932.2294 , 1144.8406
When , W , 502 , 1418166511797 , -915.6951 , 1126.3496
When , W , 502 , 1418166511832 , -947.5363 , 1102.4935
When , W , 502 , 1418166511867 , -953.4871 , 1110.4629
When , W , 502 , 1418166511903 , -901.0026 , 1102.6625
Must , M , 547 , 1418166511939 , -914.1248 , 1150.6912
Must , M , 547 , 1418166511974 , -280.2363 , 1152.1768
Whether , W , 44 , 1418166512981 , -746.1133 , 139.5058
Whether , W , 44 , 1418166513017 , -713.4965 , 149.3851
Whether , W , 44 , 1418166513052 , -676.562 , 132.3665
Whether , W , 44 , 1418166513088 , -639.1471 , 152.0363
Whether , W , 44 , 1418166513124 , -668.3026 , 134.0328
The , T , 87 , 1418166513204 , -619.9745 , 247.154
Arms , m , 146 , 1418166513239 , 311.8431 , 355.4435
against , t , 155 , 1418166513275 , 524.5838 , 341.4271
Sea , S , 159 , 1418166513310 , 628.9319 , 319.524
of , o , 163 , 1418166513346 , 715.587 , 335.9972
to , t , 212 , 1418166513500 , 849.7014 , 430.7131
ache , a , 273 , 1418166513571 , 250.6843 , 622.8394
The , T , 263 , 1418166513606 , -361.3232 , 664.048
Devoutly , D , 356 , 1418166513641 , -517.4195 , 786.1386
Devoutly , D , 356 , 1418166513687 , -456.6255 , 775.7894
Devoutly , D , 356 , 1418166513723 , -486.4599 , 836.1742
To , T , 398 , 1418166513758 , -507.788 , 881.9576
Devoutly , D , 356 , 1418166513794 , -291.2437 , 816.6041
shocks , s , 309 , 1418166515350 , 1094.6719 , 581.4486
more , e , 229 , 1418166515493 , 142.4876 , 567.2136
more , e , 229 , 1418166515529 , 146.0392 , 568.2925
Heart , e , 268 , 1418166515565 , 111.5415 , 592.3879
That , T , 312 , 1418166515647 , -54.9671 , 692.5747
To , T , 398 , 1418166515684 , -211.5091 , 939.8751
Devoutly , D , 356 , 1418166515720 , -211.6481 , 825.0709
To , T , 398 , 1418166515756 , -202.2478 , 852.2203
To , T , 398 , 1418166515791 , -222.8884 , 866.5125
To , T , 398 , 1418166515826 , -229.3614 , 898.1016
When , W , 502 , 1418166515861 , -174.4474 , 1039.8142
Aye , y , 429 , 1418166516680 , 748.3949 , 928.1411
what , w , 479 , 1418166516715 , 663.7533 , 1013.9398
Calamity , t , 605 , 1418166516824 , 413.3896 , 1282.9187
Oppressor , s , 685 , 1418166516942 , 223.4376 , 1443.7852
To , T , 948 , 1418166516977 , -176.1905 , 2021.5961
The , T , 676 , 1418166517013 , -124.2397 , 1439.7428
Flesh , h , 321 , 1418166517048 , 211.0497 , 739.7298
pause , s , 563 , 1418166517084 , 381.2823 , 1186.653
the , t , 645 , 1418166517128 , 445.6182 , 1388.9838
and , n , 799 , 1418166517200 , 632.537 , 1673.5315
you , u , 1464 , 1418166517235 , 862.6138 , 2995.2974
merit , e , 828 , 1418166517459 , 328.8917 , 1680.8215
undiscovered , v , 1045 , 1418166517495 , 269.677 , 2195.877
undiscovered , v , 1045 , 1418166517530 , 258.9766 , 2145.1401
fair , i , 1478 , 1418166517566 , 155.146 , 3088.3181
Is , I , 1290 , 1418166517870 , -774.2971 , 2707.1348
And , A , 1118 , 1418166517905 , -826.4487 , 2336.7898
No , N , 1078 , 1418166517941 , -766.7534 , 2291.1584
To , T , 948 , 1418166517976 , -733.8776 , 1993.5175
When , W , 857 , 1418166518011 , -298.0002 , 1794.8367
The , T , 1034 , 1418166518046 , -95.3708 , 2166.5686
