to , o , 249 , 1418329442240 , 630.7573 , 499.9144
Slings , i , 93 , 1418329450688 , 142.3598 , 247.4293
Slings , i , 93 , 1418329450722 , 142.2772 , 242.3839
Slings , i , 93 , 1418329450757 , 145.6928 , 253.5556
Slings , i , 93 , 1418329450791 , 142.7505 , 250.7996
Slings , i , 93 , 1418329450826 , 137.3596 , 248.1308
Slings , l , 92 , 1418329450870 , 130.75 , 240.2789
Slings , l , 92 , 1418329450904 , 125.1044 , 232.7264
Slings , l , 92 , 1418329450939 , 122.9655 , 232.3008
Slings , l , 92 , 1418329450984 , 122.4474 , 231.5172
Slings , l , 92 , 1418329451019 , 121.4246 , 232.8898
Slings , l , 92 , 1418329451054 , 119.0086 , 227.5659
Slings , l , 92 , 1418329451090 , 119.5945 , 230.0017
Slings , l , 92 , 1418329451125 , 117.5559 , 229.1294
Slings , l , 92 , 1418329451170 , 119.5173 , 235.7125
Slings , l , 92 , 1418329451204 , 122.3685 , 243.6441
Slings , l , 92 , 1418329451240 , 124.8363 , 250.4488
Slings , l , 92 , 1418329451274 , 126.3948 , 257.2976
say , a , 252 , 1418329451352 , 700.6776 , 529.8648
say , a , 252 , 1418329451387 , 706.896 , 528.5603
say , y , 253 , 1418329451423 , 718.4042 , 520.2927
say , y , 253 , 1418329451458 , 714.8289 , 519.4387
say , a , 252 , 1418329451494 , 704.1771 , 517.7054
say , a , 252 , 1418329451538 , 689.4513 , 515.8994
say , s , 251 , 1418329451573 , 675.0455 , 516.049
say , s , 251 , 1418329451608 , 671.1464 , 513.7277
say , s , 251 , 1418329451642 , 660.9891 , 511.2108
to , o , 249 , 1418329451978 , 633.6682 , 509.6488
to , o , 249 , 1418329452014 , 632.1636 , 507.2407
to , o , 249 , 1418329452050 , 630.4708 , 506.7667
to , o , 249 , 1418329452095 , 629.9524 , 507.0417
to , o , 249 , 1418329452130 , 629.2088 , 505.3909
to , o , 249 , 1418329452164 , 629.1678 , 504.6223
to , o , 249 , 1418329452200 , 627.7594 , 504.6116
to , o , 249 , 1418329452234 , 629.0553 , 504.4236
to , o , 249 , 1418329452270 , 630.0753 , 504.45
to , o , 249 , 1418329452315 , 630.4312 , 504.8058
against , n , 153 , 1418329452350 , 487.3075 , 379.8055
them , e , 200 , 1418329452384 , 552.0406 , 399.3846
against , s , 154 , 1418329452419 , 511.1939 , 358.4498
against , s , 154 , 1418329452464 , 513.7911 , 367.0155
against , s , 154 , 1418329452498 , 507.2524 , 368.4717
against , t , 155 , 1418329452533 , 536.026 , 380.6839
them , m , 201 , 1418329452613 , 565.4889 , 394.027
them , m , 201 , 1418329452648 , 575.6505 , 400.5194
them , m , 201 , 1418329452684 , 584.2359 , 404.5716
them , m , 201 , 1418329452719 , 587.5951 , 404.9981
sleep , e , 466 , 1418329453354 , 349.0972 , 1020.8729
shuffled , f , 518 , 1418329453388 , 377.4427 , 1042.0746
shuffled , h , 516 , 1418329453423 , 333.7234 , 1081.0394
shuffled , u , 517 , 1418329453458 , 360.125 , 1058.6133
shuffled , h , 516 , 1418329453491 , 334.1897 , 1089.2714
shuffled , h , 516 , 1418329453536 , 337.6418 , 1088.1809
shuffled , h , 516 , 1418329453571 , 328.0528 , 1100.1689
shuffled , s , 515 , 1418329453605 , 322.7591 , 1100.193
shuffled , s , 515 , 1418329453640 , 316.6599 , 1100.3538
shuffled , s , 515 , 1418329453685 , 317.1691 , 1099.551
shuffled , s , 515 , 1418329453720 , 317.2894 , 1095.842
shuffled , s , 515 , 1418329453755 , 316.0619 , 1090.8878
shuffled , s , 515 , 1418329453790 , 312.2791 , 1103.7861
shuffled , s , 515 , 1418329453824 , 309.9745 , 1110.9858
us , s , 558 , 1418329453982 , 273.8864 , 1194.2467
us , s , 558 , 1418329454016 , 268.3032 , 1215.3782
Calamity , C , 599 , 1418329454051 , 263.586 , 1220.0092
us , s , 558 , 1418329454086 , 254.5802 , 1218.0088
us , s , 558 , 1418329454120 , 259.1103 , 1212.3948
us , s , 558 , 1418329454165 , 263.6656 , 1211.0815
us , s , 558 , 1418329454199 , 266.9895 , 1212.3275
Calamity , C , 599 , 1418329454234 , 258.4596 , 1227.2495
Calamity , C , 599 , 1418329454269 , 256.4848 , 1230.1974
by , b , 181 , 1418329454788 , 93.6841 , 440.6623
by , b , 181 , 1418329454834 , 94.3183 , 393.7275
by , y , 182 , 1418329454869 , 109.2465 , 391.8237
by , y , 182 , 1418329455018 , 121.7048 , 395.5637
by , y , 182 , 1418329455054 , 131.8264 , 397.158
Or , O , 133 , 1418329455238 , -54.8755 , 319.536
Or , O , 133 , 1418329455272 , -58.3243 , 360.1391
Or , O , 133 , 1418329455307 , -51.0388 , 344.234
Or , O , 133 , 1418329455342 , -78.3423 , 305.2187
Or , O , 133 , 1418329455387 , -74.3861 , 302.3927
The , T , 87 , 1418329455422 , -74.6685 , 293.3683
The , T , 87 , 1418329455456 , -76.0946 , 283.8524
The , T , 87 , 1418329455490 , -80.8466 , 277.1696
The , T , 87 , 1418329455536 , -86.4188 , 274.3495
The , T , 87 , 1418329455571 , -83.907 , 277.9532
The , T , 87 , 1418329455604 , -86.8337 , 275.1471
The , T , 87 , 1418329455639 , -91.0169 , 262.4464
The , T , 87 , 1418329455684 , -89.2628 , 261.8659
The , T , 87 , 1418329455719 , -91.1677 , 260.0857
The , T , 87 , 1418329455754 , -93.4826 , 257.4558
Whether , W , 44 , 1418329455823 , -170.9831 , 138.5617
Whether , W , 44 , 1418329455868 , -169.1945 , 129.1187
Whether , W , 44 , 1418329455903 , -167.3333 , 126.4882
against , n , 153 , 1418329457457 , 481.0978 , 368.7504
against , a , 151 , 1418329457494 , 442.4819 , 332.4342
against , i , 152 , 1418329457527 , 463.2543 , 342.851
against , n , 153 , 1418329457572 , 476.5186 , 351.6865
against , n , 153 , 1418329457607 , 471.3541 , 344.5084
against , i , 152 , 1418329457642 , 460.433 , 335.4087
against , i , 152 , 1418329457677 , 453.2106 , 330.8664
against , i , 152 , 1418329457712 , 447.899 , 327.1611
against , i , 152 , 1418329457757 , 450.9427 , 328.7207
against , i , 152 , 1418329457793 , 459.7533 , 326.0175
against , i , 152 , 1418329457828 , 458.5022 , 342.4006
against , i , 152 , 1418329457862 , 456.4522 , 358.0495
against , i , 152 , 1418329457897 , 453.0834 , 371.1477
against , i , 152 , 1418329457942 , 450.7814 , 383.0779
end , d , 196 , 1418329457978 , 445.6637 , 393.4882
end , n , 195 , 1418329458013 , 442.9636 , 402.4447
end , n , 195 , 1418329458047 , 439.0099 , 409.5537
end , n , 195 , 1418329458082 , 434.7322 , 414.9753
end , n , 195 , 1418329458128 , 432.0153 , 422.3006
end , n , 195 , 1418329458163 , 428.3714 , 426.4975
end , n , 195 , 1418329458197 , 426.1092 , 431.2007
end , n , 195 , 1418329458232 , 423.9494 , 435.0023
end , e , 194 , 1418329458267 , 396.2179 , 453.4782
sleep , p , 245 , 1418329458312 , 535.6509 , 501.0431
sleep , s , 215 , 1418329458347 , 900.1547 , 448.5743
say , y , 253 , 1418329459420 , 729.7803 , 487.3947
say , y , 253 , 1418329459456 , 729.6006 , 486.3246
die , d , 207 , 1418329459491 , 730.9583 , 482.3526
say , y , 253 , 1418329459527 , 729.936 , 483.5133
die , d , 207 , 1418329459562 , 728.3074 , 482.4641
say , a , 252 , 1418329459608 , 693.8842 , 494.6099
die , d , 207 , 1418329459644 , 731.1334 , 479.8158
we , w , 255 , 1418329460155 , 756.374 , 494.1034
sleep , l , 242 , 1418329460269 , 461.952 , 531.8531
Whether , r , 50 , 1418329460303 , 140.9474 , 152.8399
be , e , 6 , 1418329460348 , 109.4644 , 71.2084
be , b , 5 , 1418329460383 , 99.1738 , 61.659
be , b , 5 , 1418329460419 , 93.7565 , 52.61
be , b , 5 , 1418329460453 , 94.3962 , 49.7674
be , b , 5 , 1418329460487 , 90.2904 , 53.8805
be , b , 5 , 1418329460533 , 99.4206 , 39.3647
Arms , s , 147 , 1418329460788 , 330.2597 , 380.9827
opposing , g , 191 , 1418329460823 , 337.9542 , 404.6366
opposing , g , 191 , 1418329460857 , 332.1441 , 392.6426
Arms , s , 147 , 1418329460904 , 337.9064 , 387.285
end , e , 194 , 1418329460974 , 411.0307 , 392.5028
Arms , m , 146 , 1418329461009 , 305.337 , 345.0982
against , a , 149 , 1418329461088 , 393.7433 , 380.0806
against , a , 149 , 1418329461123 , 393.899 , 376.9257
against , a , 149 , 1418329461158 , 386.9699 , 384.4061
against , a , 149 , 1418329461192 , 380.4084 , 386.0505
die , e , 209 , 1418329461227 , 768.4701 , 473.5784
die , d , 207 , 1418329461273 , 727.4438 , 467.4975
die , d , 207 , 1418329461308 , 717.7054 , 464.773
die , d , 207 , 1418329461528 , 718.9764 , 463.4205
die , d , 207 , 1418329461563 , 728.2809 , 464.6241
die , i , 208 , 1418329461597 , 736.7874 , 465.5489
die , i , 208 , 1418329461645 , 739.2635 , 467.0039
die , i , 208 , 1418329461680 , 746.8102 , 467.256
die , i , 208 , 1418329461714 , 751.389 , 468.7584
die , e , 209 , 1418329461750 , 757.7261 , 469.804
die , e , 209 , 1418329461785 , 760.8311 , 469.644
die , e , 209 , 1418329461819 , 764.1261 , 471.548
die , e , 209 , 1418329461864 , 767.9528 , 473.7254
die , e , 209 , 1418329461899 , 768.2781 , 476.1716
die , e , 209 , 1418329461933 , 769.5536 , 478.6758
die , e , 209 , 1418329461968 , 768.6629 , 481.1782
we , w , 255 , 1418329462004 , 770.8242 , 483.2589
we , w , 255 , 1418329462048 , 771.8434 , 485.332
we , w , 255 , 1418329462082 , 773.3422 , 486.5504
we , w , 255 , 1418329462117 , 773.9289 , 487.9355
we , w , 255 , 1418329462152 , 775.0609 , 489.6928
we , w , 255 , 1418329462199 , 774.1523 , 491.5944
we , w , 255 , 1418329462234 , 773.7112 , 493.114
we , w , 255 , 1418329462268 , 773.889 , 492.681
we , w , 255 , 1418329462302 , 774.8628 , 492.957
we , w , 255 , 1418329462348 , 776.1735 , 493.0916
we , w , 255 , 1418329462383 , 778.6439 , 493.3979
we , w , 255 , 1418329462417 , 778.5479 , 493.2207
we , w , 255 , 1418329462453 , 779.2882 , 493.0061
we , w , 255 , 1418329462487 , 779.8845 , 493.13
we , e , 256 , 1418329462532 , 780.0053 , 493.4554
we , w , 255 , 1418329462569 , 779.2949 , 493.4634
we , w , 255 , 1418329462604 , 778.9036 , 493.5346
we , w , 255 , 1418329462639 , 776.2337 , 493.1094
we , w , 255 , 1418329462674 , 777.171 , 492.1219
we , w , 255 , 1418329462709 , 776.8611 , 491.9141
we , w , 255 , 1418329462743 , 777.4158 , 491.9096
we , w , 255 , 1418329462789 , 776.9634 , 491.2008
we , w , 255 , 1418329462825 , 777.0521 , 490.9951
we , w , 255 , 1418329462860 , 777.2473 , 490.2886
we , w , 255 , 1418329462893 , 777.1501 , 490.5265
we , e , 256 , 1418329462938 , 780.0639 , 490.003
we , w , 255 , 1418329462973 , 779.8525 , 489.8712
we , w , 255 , 1418329463008 , 779.681 , 489.5085
we , e , 256 , 1418329463043 , 780.5053 , 489.0614
we , e , 256 , 1418329463077 , 781.9062 , 488.3861
end , e , 194 , 1418329463123 , 416.2922 , 413.6697
Arms , s , 147 , 1418329464080 , 346.9818 , 387.1317
Arms , s , 147 , 1418329464171 , 327.7206 , 358.9953
Arms , s , 147 , 1418329464303 , 344.0891 , 372.4654
sleep , s , 241 , 1418329464558 , 425.0575 , 530.5348
sleep , s , 241 , 1418329464602 , 431.6189 , 529.0844
sleep , s , 241 , 1418329464637 , 432.8769 , 530.1812
sleep , s , 241 , 1418329464672 , 440.844 , 530.0588
sleep , s , 241 , 1418329464707 , 438.8749 , 531.0264
sleep , s , 241 , 1418329464752 , 434.736 , 530.4233
sleep , s , 241 , 1418329464787 , 426.9728 , 527.1273
a , a , 239 , 1418329464857 , 391.7846 , 524.7575
a , a , 239 , 1418329464891 , 379.9735 , 524.0594
Whether , e , 49 , 1418329464936 , 119.9524 , 136.3864
Whether , h , 48 , 1418329464973 , 102.9419 , 128.9411
Whether , r , 50 , 1418329465007 , 139.0771 , 123.1126
Whether , r , 50 , 1418329465041 , 136.3032 , 125.1706
Whether , r , 50 , 1418329465077 , 137.1649 , 125.4443
Whether , e , 49 , 1418329465123 , 129.9892 , 122.475
be , e , 6 , 1418329465159 , 123.6982 , 108.262
opposing , g , 191 , 1418329465930 , 345.7177 , 477.2745
opposing , g , 191 , 1418329465966 , 337.1512 , 482.3599
by , y , 237 , 1418329466011 , 333.097 , 487.178
by , y , 237 , 1418329466047 , 327.4713 , 489.6903
by , y , 237 , 1418329466082 , 326.2871 , 492.3383
And , A , 177 , 1418329466116 , -8.3884 , 451.9041
by , y , 182 , 1418329466186 , 130.2124 , 454.2834
opposing , p , 185 , 1418329466266 , 190.2861 , 428.2451
opposing , n , 190 , 1418329466299 , 312.4843 , 431.3369
die , e , 209 , 1418329466333 , 765.9855 , 448.9435
die , e , 209 , 1418329466450 , 770.4217 , 454.7533
end , e , 258 , 1418329466705 , 830.9532 , 483.7041
end , e , 258 , 1418329466750 , 837.202 , 485.7935
end , e , 258 , 1418329466784 , 843.4033 , 484.6363
end , e , 258 , 1418329466818 , 844.6002 , 486.4584
end , e , 258 , 1418329466853 , 850.6651 , 486.3179
end , n , 259 , 1418329466898 , 855.5626 , 484.4805
end , n , 259 , 1418329466933 , 859.5114 , 484.268
to , o , 213 , 1418329466968 , 864.0314 , 482.7983
to , o , 213 , 1418329467003 , 866.1115 , 482.9731
end , n , 259 , 1418329467048 , 869.5858 , 483.1029
end , n , 259 , 1418329467084 , 869.0173 , 483.2789
end , n , 259 , 1418329467118 , 870.3878 , 483.6082
end , n , 259 , 1418329467152 , 869.8137 , 483.8503
end , n , 259 , 1418329467186 , 872.879 , 484.0058
end , n , 259 , 1418329467232 , 875.2297 , 483.3525
end , n , 259 , 1418329467267 , 874.1108 , 483.8893
end , n , 259 , 1418329467301 , 872.4578 , 484.2607
against , t , 155 , 1418329467452 , 518.6803 , 361.0357
