of , o , 109 , 1418327508794 , 523.2685 , 268.0305
of , o , 109 , 1418327514680 , 537.8781 , 219.6359
of , o , 109 , 1418327514714 , 537.3627 , 225.0394
of , o , 109 , 1418327514760 , 536.8755 , 229.391
of , o , 109 , 1418327514796 , 534.72 , 233.2494
of , o , 109 , 1418327514832 , 534.585 , 237.4937
of , o , 109 , 1418327514868 , 534.7251 , 242.457
of , o , 109 , 1418327514902 , 534.9304 , 246.4662
of , o , 109 , 1418327514936 , 534.563 , 252.2128
of , o , 109 , 1418327514982 , 535.1636 , 258.7133
of , o , 109 , 1418327515017 , 537.3133 , 262.9906
outrageous , u , 120 , 1418327515052 , 780.7467 , 275.26
outrageous , o , 119 , 1418327515086 , 768.0293 , 296.3335
outrageous , u , 120 , 1418327515165 , 782.006 , 290.9681
outrageous , o , 119 , 1418327515201 , 776.286 , 287.9708
outrageous , u , 120 , 1418327515236 , 796.8811 , 287.6853
outrageous , s , 121 , 1418327515271 , 814.6168 , 278.0196
Fortune , F , 123 , 1418327515422 , 854.6979 , 283.7512
Fortune , F , 123 , 1418327515456 , 860.1153 , 284.9389
Sea , e , 160 , 1418327515491 , 637.9862 , 311.0526
against , g , 150 , 1418327515537 , 411.8574 , 336.0983
against , g , 150 , 1418327515572 , 411.2088 , 339.9272
against , g , 150 , 1418327515607 , 410.455 , 337.0429
against , g , 150 , 1418327515641 , 408.9007 , 339.9846
against , g , 150 , 1418327515685 , 406.1234 , 339.4417
against , g , 150 , 1418327515722 , 414.4 , 332.7462
to , t , 136 , 1418327515756 , 60.9334 , 336.7413
to , t , 136 , 1418327515792 , 61.5268 , 349.5588
to , t , 136 , 1418327515827 , 62.2739 , 350.6379
Or , O , 133 , 1418327515943 , 5.7045 , 349.6379
Arms , A , 144 , 1418327515978 , 267.0908 , 332.2849
Arms , r , 145 , 1418327516013 , 293.5972 , 324.5573
Arms , m , 146 , 1418327516047 , 301.5554 , 329.8705
Arms , m , 146 , 1418327516083 , 304.6925 , 332.9556
Arms , m , 146 , 1418327516129 , 307.0432 , 333.8423
against , g , 150 , 1418327516164 , 400.063 , 342.2787
Sea , e , 160 , 1418327516198 , 644.9131 , 366.8661
Sea , e , 160 , 1418327516232 , 651.3629 , 361.5554
Sea , e , 160 , 1418327516267 , 646.3452 , 362.126
Sea , e , 160 , 1418327516313 , 644.9631 , 362.3338
Sea , e , 160 , 1418327516347 , 638.162 , 359.2835
Sea , S , 159 , 1418327516382 , 621.9082 , 340.8792
Sea , S , 159 , 1418327516417 , 615.2961 , 342.4449
Sea , S , 159 , 1418327516463 , 616.7554 , 338.7586
of , o , 163 , 1418327516534 , 727.9205 , 348.6469
of , f , 164 , 1418327516569 , 750.8764 , 351.6572
troubles , r , 167 , 1418327516682 , 816.8806 , 339.9176
troubles , r , 167 , 1418327516717 , 821.6455 , 345.4321
troubles , r , 167 , 1418327516751 , 826.4637 , 345.89
troubles , r , 167 , 1418327516786 , 827.5002 , 346.1162
troubles , r , 167 , 1418327516830 , 811.1852 , 349.649
opposing , p , 186 , 1418327516900 , 210.627 , 405.8206
opposing , p , 186 , 1418327516935 , 207.8892 , 402.3524
opposing , p , 186 , 1418327516982 , 207.366 , 407.6135
opposing , p , 186 , 1418327517016 , 210.8378 , 407.9452
opposing , p , 185 , 1418327517052 , 183.5457 , 415.9191
by , y , 182 , 1418327517122 , 124.8336 , 419.3402
by , y , 182 , 1418327517157 , 109.2524 , 420.2896
by , b , 181 , 1418327517204 , 95.7733 , 419.603
by , b , 181 , 1418327517237 , 86.1917 , 419.4631
by , b , 181 , 1418327517272 , 87.842 , 417.7299
by , b , 181 , 1418327517308 , 91.903 , 416.7758
by , b , 181 , 1418327517342 , 96.2113 , 416.7138
by , b , 181 , 1418327517388 , 98.81 , 416.7773
by , b , 181 , 1418327517422 , 100.8973 , 414.785
by , b , 181 , 1418327517457 , 104.2855 , 414.3346
end , d , 196 , 1418327517493 , 457.6007 , 427.5203
them , t , 198 , 1418327517527 , 494.5676 , 438.2304
die , e , 209 , 1418327517826 , 762.463 , 417.2322
die , e , 209 , 1418327517861 , 766.7429 , 430.7608
die , e , 209 , 1418327517906 , 770.5565 , 416.5014
die , e , 209 , 1418327517941 , 764.7628 , 416.2068
die , e , 209 , 1418327517976 , 760.3003 , 424.3586
die , e , 209 , 1418327518011 , 759.871 , 424.8207
die , e , 209 , 1418327518045 , 759.6097 , 427.4139
die , e , 209 , 1418327518091 , 759.4644 , 427.5313
die , e , 209 , 1418327518125 , 778.257 , 427.1776
to , t , 212 , 1418327518311 , 829.4886 , 434.8332
them , m , 201 , 1418327518346 , 565.8149 , 469.2197
and , d , 234 , 1418327518382 , 255.176 , 516.54
and , d , 234 , 1418327518417 , 257.0152 , 505.1386
and , d , 234 , 1418327518451 , 264.1108 , 503.9711
and , d , 234 , 1418327518497 , 255.9798 , 495.0087
and , n , 233 , 1418327518531 , 251.1494 , 500.5953
No , N , 223 , 1418327518566 , -11.7944 , 483.4387
No , N , 223 , 1418327518602 , 4.2254 , 505.0747
No , N , 223 , 1418327518646 , -4.136 , 495.808
No , N , 223 , 1418327518682 , -1.4328 , 498.3599
No , N , 223 , 1418327518717 , 1.0004 , 495.1196
No , o , 224 , 1418327518750 , 18.3548 , 487.8353
No , o , 224 , 1418327518785 , 35.1106 , 487.8449
more , m , 226 , 1418327518901 , 63.7497 , 488.6908
and , n , 233 , 1418327518936 , 239.8499 , 507.5244
and , n , 233 , 1418327518972 , 251.015 , 498.5469
and , n , 233 , 1418327519007 , 246.9325 , 499.6801
and , n , 233 , 1418327519053 , 248.0496 , 500.29
and , n , 233 , 1418327519087 , 244.705 , 501.5706
sleep , l , 242 , 1418327519157 , 450.3491 , 513.8828
sleep , e , 243 , 1418327519202 , 474.9271 , 517.0948
sleep , l , 242 , 1418327519236 , 458.2662 , 523.71
sleep , e , 243 , 1418327519272 , 488.0978 , 520.8569
sleep , p , 245 , 1418327519307 , 537.1588 , 519.6086
to , t , 248 , 1418327519422 , 596.2287 , 523.5466
say , s , 251 , 1418327519457 , 677.4064 , 512.3159
say , s , 251 , 1418327519492 , 681.1603 , 514.2999
say , s , 251 , 1418327519526 , 680.4506 , 518.3423
say , s , 251 , 1418327519572 , 671.6489 , 510.2433
say , s , 251 , 1418327519607 , 676.5215 , 511.3183
say , a , 252 , 1418327519642 , 696.8763 , 510.8971
say , y , 253 , 1418327519677 , 713.1476 , 512.6393
say , y , 253 , 1418327519712 , 724.0671 , 511.9644
say , y , 253 , 1418327519746 , 731.4107 , 513.1302
we , w , 255 , 1418327519940 , 763.5289 , 513.3599
we , w , 255 , 1418327519976 , 769.8456 , 515.4367
we , w , 255 , 1418327520012 , 776.2336 , 517.6922
we , e , 256 , 1418327520047 , 782.8435 , 520.3294
we , e , 256 , 1418327520082 , 788.8331 , 520.8079
we , e , 256 , 1418327520127 , 792.8615 , 520.7701
we , e , 256 , 1418327520163 , 797.5342 , 520.8442
we , e , 256 , 1418327520198 , 801.3664 , 521.7462
thousand , o , 289 , 1418327520302 , 631.4923 , 600.3569
ache , h , 275 , 1418327520348 , 298.2145 , 587.6895
ache , a , 273 , 1418327520382 , 236.3 , 592.7118
Heart , t , 271 , 1418327520451 , 202.3886 , 600.2101
Heart , t , 271 , 1418327520497 , 193.4304 , 603.2884
The , h , 264 , 1418327520531 , 16.1826 , 622.6087
The , h , 264 , 1418327520567 , 33.1953 , 615.7664
The , e , 265 , 1418327520601 , 36.4197 , 617.9929
The , h , 264 , 1418327520637 , 35.3783 , 614.467
The , h , 264 , 1418327520671 , 31.2959 , 615.2321
The , e , 265 , 1418327520717 , 48.8008 , 613.8392
Heart , H , 267 , 1418327520820 , 96.274 , 610.087
Heart , e , 268 , 1418327520866 , 108.8102 , 608.61
and , d , 281 , 1418327520936 , 437.1548 , 590.1279
and , d , 281 , 1418327520970 , 433.9658 , 580.5021
and , d , 281 , 1418327521006 , 434.2824 , 582.7538
and , d , 281 , 1418327521051 , 433.2361 , 585.1716
and , d , 281 , 1418327521085 , 432.1357 , 588.9902
and , d , 281 , 1418327521121 , 432.9594 , 589.361
and , d , 281 , 1418327521155 , 430.9151 , 591.2764
thousand , u , 290 , 1418327521190 , 650.1632 , 604.7672
thousand , n , 293 , 1418327521235 , 723.2634 , 610.4909
thousand , n , 293 , 1418327521271 , 727.3499 , 622.5306
thousand , n , 293 , 1418327521306 , 723.9124 , 615.4041
thousand , n , 293 , 1418327521341 , 727.1831 , 613.8914
thousand , n , 293 , 1418327521385 , 727.1154 , 611.0035
thousand , d , 294 , 1418327521420 , 753.3306 , 608.9703
shocks , o , 306 , 1418327521455 , 1029.4009 , 595.3998
shocks , o , 306 , 1418327521490 , 1036.0854 , 615.7864
shocks , o , 306 , 1418327521526 , 1039.072 , 607.2856
shocks , o , 306 , 1418327521561 , 1040.7015 , 609.696
shocks , o , 306 , 1418327521607 , 1042.3746 , 606.0848
shocks , o , 306 , 1418327521642 , 1043.667 , 605.8099
shocks , c , 307 , 1418327521676 , 1047.1072 , 607.5583
shocks , c , 307 , 1418327521711 , 1046.3762 , 606.3885
shocks , c , 307 , 1418327521745 , 1046.1472 , 605.4365
shocks , c , 307 , 1418327521791 , 1048.5782 , 606.9973
Natural , a , 297 , 1418327521826 , 824.1498 , 610.3846
ache , a , 273 , 1418327521863 , 249.5898 , 630.5012
Heart , t , 271 , 1418327521931 , 192.138 , 660.2462
Heart , t , 271 , 1418327521977 , 180.2633 , 665.9748
Flesh , e , 319 , 1418327522011 , 174.7688 , 668.4974
Flesh , l , 318 , 1418327522046 , 148.9128 , 673.2893
Flesh , e , 319 , 1418327522081 , 161.9864 , 690.9835
Flesh , e , 319 , 1418327522116 , 156.19 , 673.6116
Flesh , l , 318 , 1418327522161 , 149.2435 , 673.6636
Flesh , l , 318 , 1418327522197 , 148.8782 , 671.1427
Flesh , l , 318 , 1418327522231 , 145.8382 , 672.1982
Flesh , l , 318 , 1418327522266 , 133.9276 , 673.5129
Flesh , F , 317 , 1418327522302 , 127.5917 , 677.2375
Flesh , F , 317 , 1418327522348 , 125.9074 , 680.3533
Flesh , F , 317 , 1418327522383 , 124.8812 , 682.8421
Flesh , F , 317 , 1418327522417 , 122.2762 , 685.8128
Flesh , F , 317 , 1418327522452 , 131.6635 , 688.4739
heir , e , 327 , 1418327522487 , 358.9924 , 712.0103
heir , e , 327 , 1418327522532 , 356.8243 , 693.9376
heir , e , 327 , 1418327522567 , 353.9934 , 701.2987
heir , e , 327 , 1418327522602 , 356.5958 , 706.0408
heir , e , 327 , 1418327522636 , 354.1829 , 703.3986
heir , e , 327 , 1418327522670 , 357.0196 , 708.066
heir , e , 327 , 1418327522715 , 355.0478 , 707.0656
heir , e , 327 , 1418327522750 , 352.385 , 707.0188
heir , e , 327 , 1418327522786 , 351.0354 , 707.59
Tis , T , 336 , 1418327522866 , 576.0953 , 712.1155
Tis , T , 336 , 1418327522901 , 564.5587 , 717.71
Tis , T , 336 , 1418327522936 , 573.7882 , 715.5031
Tis , T , 336 , 1418327522972 , 573.8232 , 716.4945
Tis , T , 336 , 1418327523006 , 577.7333 , 715.1677
Tis , T , 336 , 1418327523051 , 578.6662 , 714.4598
Tis , T , 336 , 1418327523087 , 580.6928 , 715.5763
Tis , T , 336 , 1418327523121 , 580.9825 , 716.3833
Tis , T , 336 , 1418327523156 , 580.955 , 716.4924
Tis , T , 336 , 1418327523191 , 581.5173 , 717.3086
consummation , n , 344 , 1418327523226 , 767.4636 , 751.3572
consummation , n , 344 , 1418327523272 , 763.8915 , 731.619
consummation , n , 344 , 1418327523307 , 764.1535 , 733.0577
consummation , n , 344 , 1418327523342 , 769.2225 , 733.4437
consummation , n , 344 , 1418327523376 , 772.1558 , 730.6909
consummation , n , 344 , 1418327523411 , 769.1549 , 732.6868
consummation , n , 344 , 1418327523456 , 767.3247 , 733.5541
consummation , n , 344 , 1418327523491 , 766.4905 , 735.1588
consummation , n , 344 , 1418327523526 , 767.3337 , 737.4517
consummation , n , 344 , 1418327523561 , 774.2939 , 739.0717
consummation , n , 353 , 1418327523606 , 979.5203 , 690.7614
consummation , o , 352 , 1418327523641 , 957.7771 , 690.7876
consummation , o , 352 , 1418327523677 , 966.1089 , 686.2863
consummation , o , 352 , 1418327523711 , 964.2267 , 690.359
consummation , o , 352 , 1418327523745 , 961.5992 , 691.6793
consummation , t , 350 , 1418327523790 , 914.0272 , 682.514
Natural , N , 296 , 1418327523824 , 800.9269 , 642.4468
Natural , t , 298 , 1418327523859 , 834.155 , 636.2603
Natural , t , 298 , 1418327523895 , 846.2955 , 628.4547
Natural , t , 298 , 1418327523929 , 842.5084 , 632.6899
Natural , t , 298 , 1418327523975 , 839.9981 , 633.0155
Natural , t , 298 , 1418327524011 , 839.9102 , 634.2538
Natural , t , 298 , 1418327524045 , 838.139 , 637.2698
Natural , t , 298 , 1418327524080 , 839.9221 , 638.1118
Natural , t , 298 , 1418327524115 , 839.4476 , 638.4525
Natural , t , 298 , 1418327524159 , 838.5456 , 640.7397
say , s , 251 , 1418327524194 , 669.8521 , 516.974
Arrows , r , 103 , 1418327524229 , 379.8494 , 231.0551
Nobler , b , 59 , 1418327524265 , 357.0249 , 203.7531
Nobler , o , 58 , 1418327524300 , 346.6963 , 193.9649
Nobler , o , 58 , 1418327524347 , 339.3702 , 188.6838
Nobler , N , 57 , 1418327524382 , 300.5737 , 171.6995
be , e , 6 , 1418327524416 , 120.074 , 87.9642
be , e , 6 , 1418327524450 , 114.1667 , 82.4089
be , e , 6 , 1418327524485 , 112.6559 , 76.2308
be , e , 6 , 1418327524531 , 112.7897 , 80.8118
be , e , 6 , 1418327524567 , 110.8057 , 81.0092
be , e , 6 , 1418327524601 , 110.5818 , 80.6309
be , e , 6 , 1418327524636 , 110.251 , 82.1502
be , e , 6 , 1418327524671 , 112.0017 , 82.902
be , e , 6 , 1418327524717 , 112.5469 , 82.1671
be , e , 6 , 1418327524752 , 112.1958 , 83.4512
be , e , 6 , 1418327524787 , 111.8805 , 83.3425
be , b , 5 , 1418327524822 , 106.4578 , 83.2237
be , b , 5 , 1418327524856 , 101.5182 , 83.2462
be , b , 5 , 1418327524902 , 96.7549 , 84.0088
be , b , 5 , 1418327524937 , 94.5061 , 85.3333
be , b , 5 , 1418327524972 , 90.2895 , 85.1282
be , b , 5 , 1418327525008 , 87.2498 , 85.9313
not , n , 12 , 1418327525042 , 272.3311 , 72.0823
not , t , 14 , 1418327525087 , 323.9503 , 69.8649
is , i , 26 , 1418327525308 , 593.441 , 63.7059
is , i , 26 , 1418327525492 , 591.5217 , 87.319
is , i , 26 , 1418327525526 , 604.72 , 86.6446
is , s , 27 , 1418327525561 , 612.1779 , 85.4281
is , s , 27 , 1418327525595 , 619.3759 , 82.441
is , s , 27 , 1418327525640 , 625.5295 , 82.7356
is , s , 27 , 1418327525676 , 631.5262 , 85.3028
is , s , 27 , 1418327525710 , 635.1842 , 83.4559
nhj , t , 29 , 1418327526232 , 660.0352 , 80.1518
the , t , 29 , 1418327526267 , 662.7071 , 80.5418
the , t , 29 , 1418327526302 , 665.9236 , 80.1882
the , t , 29 , 1418327526337 , 668.877 , 79.7621
the , t , 29 , 1418327526382 , 670.4323 , 81.1693
question , e , 35 , 1418327526418 , 817.8824 , 39.0638
question , u , 34 , 1418327526487 , 803.3199 , 32.1628
question , u , 34 , 1418327526522 , 803.1278 , 34.8947
question , u , 34 , 1418327526557 , 800.9641 , 35.4733
question , u , 34 , 1418327526602 , 802.8239 , 36.7048
question , e , 35 , 1418327526636 , 805.6727 , 37.2699
question , e , 35 , 1418327526671 , 807.8823 , 39.6157
to , o , 24 , 1418327526706 , 563.4867 , 90.9945
to , o , 24 , 1418327526752 , 556.7844 , 101.3738
to , o , 24 , 1418327526786 , 544.5222 , 101.6971
to , o , 24 , 1418327526821 , 546.1356 , 102.9157
to , o , 24 , 1418327526856 , 551.665 , 101.859
to , o , 24 , 1418327526891 , 550.8947 , 99.9178
to , o , 24 , 1418327526937 , 549.9763 , 101.6883
to , o , 24 , 1418327526971 , 548.7441 , 98.4258
to , o , 24 , 1418327527006 , 549.0197 , 100.3695
to , o , 24 , 1418327527041 , 548.7785 , 98.1442
to , o , 24 , 1418327527075 , 549.0113 , 96.9601
to , o , 24 , 1418327527120 , 548.9839 , 97.3309
to , o , 24 , 1418327527155 , 549.2909 , 97.8307
to , o , 24 , 1418327527190 , 550.3692 , 99.0882
to , o , 24 , 1418327527224 , 550.418 , 100.3515
nhj , e , 31 , 1418327527260 , 709.4854 , 96.9283
the , t , 29 , 1418327527306 , 670.3507 , 107.5096
the , t , 29 , 1418327527341 , 672.8831 , 98.7879
the , t , 29 , 1418327527375 , 681.8777 , 97.6527
the , t , 29 , 1418327527410 , 677.2019 , 95.2296
the , t , 29 , 1418327527456 , 675.2639 , 92.9065
the , t , 29 , 1418327527490 , 672.7757 , 90.9077
the , t , 29 , 1418327527525 , 672.0684 , 89.7345
the , t , 29 , 1418327527560 , 672.7237 , 88.22
the , t , 29 , 1418327527594 , 673.3718 , 89.2777
the , t , 29 , 1418327527640 , 673.0164 , 89.6221
the , t , 29 , 1418327527676 , 672.2319 , 87.7922
the , t , 29 , 1418327527712 , 662.8489 , 87.8154
is , s , 27 , 1418327527863 , 631.1165 , 91.2768
is , s , 27 , 1418327527897 , 633.3349 , 91.6637
is , s , 27 , 1418327527932 , 635.798 , 92.1395
is , s , 27 , 1418327528150 , 629.4511 , 93.5469
is , s , 27 , 1418327528186 , 624.7611 , 94.4233
is , s , 27 , 1418327528232 , 619.45 , 93.0546
is , s , 27 , 1418327528267 , 614.4677 , 93.1274
is , i , 26 , 1418327528302 , 609.4917 , 94.4063
is , i , 26 , 1418327528336 , 604.1472 , 95.1053
is , i , 26 , 1418327528372 , 598.7632 , 95.8034
is , i , 26 , 1418327528407 , 595.6445 , 95.9843
is , i , 26 , 1418327528454 , 593.1987 , 96.7878
is , i , 26 , 1418327528488 , 589.5496 , 97.0818
to , o , 24 , 1418327528629 , 561.3919 , 99.1632
to , o , 24 , 1418327528674 , 554.5562 , 97.71
to , o , 24 , 1418327528708 , 550.241 , 98.0234
to , o , 24 , 1418327528742 , 547.1641 , 99.0964
to , o , 24 , 1418327528777 , 544.97 , 99.4252
to , o , 24 , 1418327528822 , 542.6928 , 99.2347
to , o , 24 , 1418327528857 , 540.8892 , 99.9419
to , o , 24 , 1418327528892 , 542.051 , 101.0418
nhj , e , 31 , 1418327528927 , 718.9507 , 95.5471
the , h , 30 , 1418327528972 , 707.256 , 63.6366
the , e , 31 , 1418327529008 , 708.2366 , 76.2683
the , h , 30 , 1418327529042 , 703.4465 , 83.7333
the , h , 30 , 1418327529076 , 704.2023 , 78.4
the , h , 30 , 1418327529110 , 702.3915 , 75.7796
the , h , 30 , 1418327529157 , 702.6072 , 77.8758
the , h , 30 , 1418327529192 , 703.5151 , 78.3677
the , h , 30 , 1418327529227 , 701.1804 , 80.4677
the , h , 30 , 1418327529262 , 700.6375 , 79.2889
the , h , 30 , 1418327529297 , 690.1675 , 81.5396
be , e , 20 , 1418327529333 , 462.2314 , 90.4553
be , e , 20 , 1418327529379 , 457.2101 , 93.2164
be , e , 20 , 1418327529414 , 457.3346 , 99.7151
be , e , 20 , 1418327529449 , 458.4764 , 97.247
be , e , 20 , 1418327529482 , 459.0129 , 100.8629
be , e , 20 , 1418327529529 , 466.2625 , 99.9553
the , t , 29 , 1418327529968 , 675.4634 , 64.0128
the , t , 29 , 1418327530003 , 676.5963 , 86.3743
the , t , 29 , 1418327530038 , 665.9384 , 107.3995
the , t , 29 , 1418327530072 , 663.9976 , 107.318
the , t , 29 , 1418327530117 , 666.3989 , 104.1223
the , t , 29 , 1418327530151 , 668.9578 , 102.3982
the , t , 29 , 1418327530187 , 668.3988 , 101.0246
the , t , 29 , 1418327530221 , 667.3503 , 99.3721
the , t , 29 , 1418327530267 , 666.4673 , 100.8632
the , t , 29 , 1418327530301 , 666.0453 , 102.6871
the , t , 29 , 1418327530336 , 667.1898 , 102.0724
the , t , 29 , 1418327530370 , 667.6272 , 100.8437
the , t , 29 , 1418327530417 , 666.1786 , 101.0977
the , t , 29 , 1418327530452 , 665.0888 , 102.9975
the , t , 29 , 1418327530487 , 666.8699 , 103.4838
the , t , 29 , 1418327530522 , 668.3978 , 103.635
the , t , 29 , 1418327530557 , 671.415 , 101.2276
the , t , 29 , 1418327530603 , 674.3264 , 98.728
the , t , 29 , 1418327530628 , 677.3749 , 98.8359
the , t , 29 , 1418327530672 , 679.1136 , 99.4897
the , t , 29 , 1418327530707 , 682.0699 , 98.4036
the , t , 29 , 1418327530742 , 683.0269 , 98.3813
question , s , 36 , 1418327530777 , 841.4471 , 96.0504
question , u , 34 , 1418327530813 , 788.6706 , 45.8586
question , u , 34 , 1418327530858 , 794.2231 , 56.0026
the , h , 30 , 1418327530928 , 703.0361 , 62.4307
the , t , 29 , 1418327530964 , 679.8858 , 58.7438
be , e , 20 , 1418327530998 , 444.1351 , 94.8214
be , e , 20 , 1418327531043 , 461.6916 , 77.8603
be , e , 20 , 1418327531078 , 462.2188 , 82.4866
the , h , 30 , 1418327531597 , 698.9047 , 48.217
question , q , 33 , 1418327531666 , 757.9603 , 78.5192
question , q , 33 , 1418327531746 , 758.2974 , 73.948
the , e , 31 , 1418327531781 , 731.2402 , 76.7532
to , o , 24 , 1418327531816 , 546.4745 , 84.1364
to , o , 24 , 1418327531851 , 554.0217 , 100.9609
to , o , 24 , 1418327531897 , 551.1031 , 100.8982
to , o , 24 , 1418327531932 , 551.5322 , 98.4132
to , o , 24 , 1418327531967 , 552.4881 , 93.1764
question , q , 33 , 1418327532037 , 771.2615 , 52.6045
question , u , 34 , 1418327532072 , 784.7689 , 52.5203
question , u , 34 , 1418327532117 , 781.0505 , 55.0832
question , q , 33 , 1418327532152 , 778.8314 , 49.888
question , q , 33 , 1418327532187 , 777.4806 , 52.1606
question , q , 33 , 1418327532221 , 778.4492 , 49.5023
question , u , 34 , 1418327532267 , 795.2578 , 53.4574
question , e , 35 , 1418327532303 , 805.5384 , 59.3993
